Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-0.05,-0.05
0.01,0.05,0.05,0,0,-0.0475776034139256,-0.0475776034139256
0.02,0.05,0.05,-5e-06,-5e-06,-0.0452163868800533,-0.0452163868800533
0.03,0.05,0.05,-1.47577603413926e-05,-1.47577603413926e-05,-0.0429153895407602,-0.0429153895407602
0.04,0.0499999964964286,0.0499999964964286,-2.90371593707905e-05,-2.90371593707905e-05,-0.0406736596599995,-0.0406736596599995
0.05,0.0499999826518836,0.0499999826518836,-4.76080973542644e-05,-4.76080973542644e-05,-0.0384902545514395,-0.0384902545514395
0.06,0.0499999484605863,0.0499999484605863,-7.02464013037382e-05,-7.02464013037382e-05,-0.036364240509357,-0.036364240509357
0.07,0.0499998809096151,0.0499998809096151,-9.6733730708356e-05,-9.6733730708356e-05,-0.0342946927421696,-0.0342946927421696
0.08,0.0499997641359869,0.0499997641359869,-0.00012685748416391,-0.00012685748416391,-0.0322806953084931,-0.0322806953084931
0.09,0.0499995795796518,0.0499995795796518,-0.00016041070689368,-0.00016041070689368,-0.0303213410556144,-0.0303213410556144
0.1,0.0499993061324652,0.0499993061324652,-0.0001971919991543,-0.0001971919991543,-0.0284157315602701,-0.0284157315602701
0.11,0.0499989202832047,0.0499989202832047,-0.000237005425520481,-0.000237005425520481,-0.0265629770716272,-0.0265629770716272
0.12,0.0499983962586934,0.0499983962586934,-0.000279660425042689,-0.000279660425042689,-0.0247621964563636,-0.0247621964563636
0.13,0.0499977061610946,0.0499977061610946,-0.00032497172227206,-0.00032497172227206,-0.0230125171457483,-0.0230125171457483
0.14,0.0499968201014409,0.0499968201014409,-0.000372759239147067,-0.000372759239147067,-0.0213130750846242,-0.0213130750846242
0.15,0.0499957063294589,0.0499957063294589,-0.00042284800773665,-0.00042284800773665,-0.0196630146822008,-0.0196630146822008
0.16,0.0499943313597529,0.0499943313597529,-0.000475068083834694,-0.000475068083834694,-0.0180614887645627,-0.0180614887645627
0.17,0.0499926600944072,0.0499926600944072,-0.000529254461400959,-0.000529254461400959,-0.0165076585288074,-0.0165076585288074
0.18,0.0499906559420684,0.0499906559420684,-0.00058524698784368,-0.00058524698784368,-0.0150006934987236,-0.0150006934987236
0.19,0.0499882809335678,0.0499882809335678,-0.000642890280139281,-0.000642890280139281,-0.0135397714819274,-0.0135397714819274
0.2,0.0499854958341421,0.0499854958341421,-0.000702033641784755,-0.000702033641784755,-0.0121240785283731,-0.0121240785283731
0.21,0.049982260252313,0.049982260252313,-0.000762530980578422,-0.000762530980578422,-0.0107528088901615,-0.0107528088901615
0.22,0.0499785327454821,0.0499785327454821,-0.000824240727224926,-0.000824240727224926,-0.00942516498256572,-0.00942516498256572
0.23,0.0499742709222997,0.0499742709222997,-0.000887025754760446,-0.000887025754760446,-0.00814035734620248,-0.00814035734620248
0.24,0.0499694315418649,0.0499694315418649,-0.000950753298794223,-0.000950753298794223,-0.00689760461027483,-0.00689760461027483
0.25,0.049963970609812,0.049963970609812,-0.00101529487856262,-0.00101529487856262,-0.00569613345681626,-0.00569613345681626
0.26,0.0499578434713404,0.0499578434713404,-0.00108052621879204,-0.00108052621879204,-0.00453517858586851,-0.00453517858586851
0.27,0.0499510049012432,0.0499510049012432,-0.00114632717236715,-0.00114632717236715,-0.00341398268152661,-0.00341398268152661
0.28,0.0499434091909883,0.0499434091909883,-0.00121258164380084,-0.00121258164380084,-0.00233179637878761,-0.00233179637878761
0.29,0.0499350102329078,0.0499350102329078,-0.00127917751350269,-0.00127917751350269,-0.00128787823114102,-0.00128787823114102
0.3,0.0499257616015467,0.0499257616015467,-0.00134600656284241,-0.00134600656284241,-0.00028149467884106,-0.00028149467884106
0.31,0.0499156166322281,0.0499156166322281,-0.00141296440000525,-0.00141296440000525,0.000688079982196839,0.000688079982196839
0.32,0.0499045284968821,0.0499045284968821,-0.00147995038663597,-0.00147995038663597,0.00162156363093144,0.00162156363093144
0.33,0.0498924502771959,0.0498924502771959,-0.00154686756526848,-0.00154686756526848,0.00251966635121687,0.00251966635121687
0.34,0.0498793350351316,0.0498793350351316,-0.00161362258753789,-0.00161362258753789,0.0033830904613616,0.0033830904613616
0.35,0.0498651358808663,0.0498651358808663,-0.00168012564317218,-0.00168012564317218,0.00421253054327565,0.00421253054327565
0.36,0.0498498060382021,0.0498498060382021,-0.00174629038976033,-0.00174629038976033,0.00500867347125441,0.00500867347125441
0.37,0.0498332989074979,0.0498332989074979,-0.00181203388329415,-0.00181203388329415,0.00577219844044576,0.00577219844044576
0.38,0.0498155681261706,0.0498155681261706,-0.00187727650948085,-0.00187727650948085,0.00650377699504545,0.00650377699504545
0.39,0.0497965676268151,0.0497965676268151,-0.00194194191582351,-0.00194194191582351,0.00720407305626426,0.00720407305626426
0.4,0.0497762516929911,0.0497762516929911,-0.00200595694446666,-0.00200595694446666,0.00787374295010815,0.00787374295010815
