Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-0.00499999999999998,-0.00499999999999998
0.01,0.05,0.05,0,0,-0.00487569757502078,-0.00487569757502078
0.02,0.05,0.05,-4.99999999999998e-07,-4.99999999999998e-07,-0.00475294275932716,-0.00475294275932716
0.03,0.05,0.05,-1.48756975750207e-06,-1.48756975750207e-06,-0.00463172445738844,-0.00463172445738844
0.04,0.0499999996496429,0.0499999996496429,-2.95043379093687e-06,-2.95043379093687e-06,-0.00451203160975728,-0.00451203160975728
0.05,0.0499999982569243,0.0499999982569243,-4.8764702701105e-06,-4.8764702701105e-06,-0.004393853193071,-0.004393853193071
0.06,0.0499999947967947,0.0499999947967947,-7.25370991025987e-06,-7.25370991025987e-06,-0.00427717822005525,-0.00427717822005525
0.07,0.0499999879196527,0.0499999879196527,-1.00703348697163e-05,-1.00703348697163e-05,-0.00416199573952993,-0.00416199573952993
0.08,0.0499999759597325,0.0499999759597325,-1.33146776511783e-05,-1.33146776511783e-05,-0.00404829483641743,-0.00404829483641743
0.09,0.0499999569433848,0.0499999569433848,-1.69752200065933e-05,-1.69752200065933e-05,-0.00393606463175286,-0.00393606463175286
0.1,0.0499999285972523,0.0499999285972523,-2.104059184565e-05,-2.104059184565e-05,-0.00382529428269653,-0.00382529428269653
0.11,0.0499998883563407,0.0499998883563407,-2.5499570147882e-05,-2.5499570147882e-05,-0.00371597298254841,-0.00371597298254841
0.12,0.0499998333719857,0.0499998333719857,-3.03410778783837e-05,-3.03410778783837e-05,-0.00360808996076456,-0.00360808996076456
0.13,0.0499997605197176,0.0499997605197176,-3.55541829071402e-05,-3.55541829071402e-05,-0.00350163448297552,-0.00350163448297552
0.14,0.0499996664070229,0.0499996664070229,-4.11280969319732e-05,-4.11280969319732e-05,-0.00339659585100654,-0.00339659585100654
0.15,0.0499995473810042,0.0499995473810042,-4.70521744051037e-05,-4.70521744051037e-05,-0.00329296340289967,-0.00329296340289967
0.16,0.0499993995359405,0.0499993995359405,-5.33159114633348e-05,-5.33159114633348e-05,-0.00319072651293757,-0.00319072651293757
0.17,0.0499992187207461,0.0499992187207461,-5.9908944861856e-05,-5.9908944861856e-05,-0.00308987459166903,-0.00308987459166903
0.18,0.0499990005463308,0.0499990005463308,-6.68210509116709e-05,-6.68210509116709e-05,-0.00299039708593615,-0.00299039708593615
0.19,0.049998740392862,0.049998740392862,-7.40421444206527e-05,-7.40421444206527e-05,-0.00289228347890314,-0.00289228347890314
0.2,0.0499984334169282,0.0499984334169282,-8.15622776382281e-05,-8.15622776382281e-05,-0.00279552329008662,-0.00279552329008662
0.21,0.0499980745586061,0.0499980745586061,-8.93716392036938e-05,-8.93716392036938e-05,-0.00270010607538746,-0.00270010607538746
0.22,0.0499976585484308,0.0499976585484308,-9.74605530981682e-05,-9.74605530981682e-05,-0.00260602142712399,-0.00260602142712399
0.23,0.0499971799142713,0.0499971799142713,-0.000105819477600181,-0.000105819477600181,-0.00251325897406668,-0.00251325897406668
0.24,0.0499966329881099,0.0499966329881099,-0.000114439004244907,-0.000114439004244907,-0.00242180838147409,-0.00242180838147409
0.25,0.0499960119127288,0.0499960119127288,-0.000123309856787039,-0.000123309856787039,-0.00233165935113015,-0.00233165935113015
0.26,0.0499953106483027,0.0499953106483027,-0.000132422890167319,-0.000132422890167319,-0.00224280162138265,-0.00224280162138265
0.27,0.0499945229788983,0.0499945229788983,-0.000141769089482711,-0.000141769089482711,-0.00215522496718295,-0.00215522496718295
0.28,0.049993642518883,0.049993642518883,-0.000151339568960242,-0.000151339568960242,-0.00206891920012675,-0.00206891920012675
0.29,0.0499926627192414,0.0499926627192414,-0.000161125570934491,-0.000161125570934491,-0.00198387416849605,-0.00198387416849605
0.3,0.0499915768738019,0.0499915768738019,-0.000171118464828753,-0.000171118464828753,-0.00190007975730208,-0.00190007975730208
0.31,0.049990378125373,0.049990378125373,-0.000181309746139865,-0.000181309746139865,-0.00181752588832925,-0.00181752588832925
0.32,0.0499890594717912,0.0499890594717912,-0.000191691035426706,-0.000191691035426706,-0.00173620252018001,-0.00173620252018001
0.33,0.0499876137718802,0.0499876137718802,-0.000202254077302381,-0.000202254077302381,-0.00165609964832071,-0.00165609964832071
0.34,0.0499860337513223,0.0499860337513223,-0.000212990739430074,-0.000212990739430074,-0.00157720730512816,-0.00157720730512816
0.35,0.049984312008443,0.049984312008443,-0.000223893011522598,-0.000223893011522598,-0.00149951555993713,-0.00149951555993713
0.36,0.0499824410199099,0.0499824410199099,-0.000234953004345636,-0.000234953004345636,-0.00142301451908855,-0.00142301451908855
0.37,0.0499804131463451,0.0499804131463451,-0.000246162948724667,-0.000246162948724667,-0.00134769432597845,-0.00134769432597845
0.38,0.0499782206378537,0.0499782206378537,-0.000257515194555607,-0.000257515194555607,-0.00127354516110755,-0.00127354516110755
0.39,0.0499758556394676,0.0499758556394676,-0.000269002209819145,-0.000269002209819145,-0.0012005572421315,-0.0012005572421315
0.4,0.0499733101965058,0.0499733101965058,-0.000280616579598793,-0.000280616579598793,-0.00112872082391171,-0.00112872082391171
0.41,0.0499705762598527,0.0499705762598527,-0.000292351005102655,-0.000292351005102655,-0.00105802619856672,-0.00105802619856672
0.42,0.0499676456911535,0.0499676456911535,-0.000304198302688908,-0.000304198302688908,-0.00098846369552407,-0.00098846369552407
0.43,0.0499645102679286,0.0499645102679286,-0.000316151402895018,-0.000316151402895018,-0.000920023681572633,-0.000920023681572633
0.44,0.0499611616886072,0.0499611616886072,-0.00032820334947068,-0.00032820334947068,-0.000852696560915374,-0.000852696560915374
0.45,0.0499575915774815,0.0499575915774815,-0.000340347298414499,-0.000340347298414499,-0.000786472775222487,-0.000786472775222487
0.46,0.0499537914895801,0.0499537914895801,-0.00035257651701441,-0.00035257651701441,-0.000721342803684873,-0.000721342803684873
0.47,0.0499497529154646,0.0499497529154646,-0.000364884382891843,-0.000364884382891843,-0.000657297163067911,-0.000657297163067911
0.48,0.0499454672859469,0.0499454672859469,-0.000377264383049645,-0.000377264383049645,-0.000594326407765511,-0.000594326407765511
0.49,0.0499409259767294,0.0499409259767294,-0.000389710112923753,-0.000389710112923753,-0.000532421129854366,-0.000532421129854366
0.5,0.0499361203129692,0.0499361203129692,-0.000402215275438638,-0.000402215275438638,-0.000471571959148414,-0.000471571959148414
0.51,0.0499310415737656,0.0499310415737656,-0.000414773680066508,-0.000414773680066508,-0.000411769563253424,-0.000411769563253424
0.52,0.0499256809965726,0.0499256809965726,-0.000427379241890294,-0.000427379241890294,-0.000353004647621718,-0.000353004647621718
0.53,0.0499200297815366,0.0499200297815366,-0.000440025980670404,-0.000440025980670404,-0.000295267955606943,-0.000295267955606943
0.54,0.0499140790957604,0.0499140790957604,-0.000452708019915277,-0.000452708019915277,-0.000238550268518906,-0.000238550268518906
0.55,0.0499078200774935,0.0499078200774935,-0.00046541958595571,-0.00046541958595571,-0.000182842405678395,-0.000182842405678395
0.56,0.0499012438402497,0.0499012438402497,-0.000478155007022996,-0.000478155007022996,-0.000128135224471975,-0.000128135224471975
0.57,0.0498943414768533,0.0498943414768533,-0.000490908712330849,-0.000490908712330849,-7.44196204067104e-05,-7.44196204067104e-05
0.58,0.0498871040634126,0.0498871040634126,-0.000503675231161149,-0.000503675231161149,-2.16865271648074e-05,-2.16865271648074e-05
0.59,0.0498795226632242,0.0498795226632242,-0.00051644919195349,-0.00051644919195349,3.00730833419031e-05,3.00730833419031e-05
0.6,0.049871588330606,0.049871588330606,-0.000529225321398548,-0.000529225321398548,8.08682009176354e-05,8.08682009176354e-05
0.61,0.0498632921146611,0.0498632921146611,-0.000541998443535271,-0.000541998443535271,0.000130707777028522,0.000130707777028522
0.62,0.0498546250629731,0.0498546250629731,-0.000554763478851902,-0.000554763478851902,0.000179600724748715,0.000179600724748715
0.63,0.049845578225233,0.049845578225233,-0.000567515443390831,-0.000567515443390831,0.000227555918706756,0.000227555918706756
0.64,0.049836142656798,0.049836142656798,-0.000580249447857285,-0.000580249447857285,0.000274582195032238,0.000274582195032238
0.65,0.0498263094221845,0.0498263094221845,-0.000592960696731868,-0.000592960696731868,0.00032068835130279,0.00032068835130279
0.66,0.0498160695984935,0.0498160695984935,-0.000605644487386948,-0.000605644487386948,0.000365883146491431,0.000365883146491431
0.67,0.0498054142787715,0.0498054142787715,-0.000618296209206898,-0.000618296209206898,0.000410175300914286,0.000410175300914286
0.68,0.0497943345753052,0.0497943345753052,-0.000630911342712198,-0.000630911342712198,0.000453573496178738,0.000453573496178738
0.69,0.0497828216228522,0.0497828216228522,-0.000643485458687407,-0.000643485458687407,0.000496086375132011,0.000496086375132011
0.7,0.0497708665818084,0.0497708665818084,-0.000656014217312998,-0.000656014217312998,0.000537722541810237,0.000537722541810237
0.71,0.049758460641311,0.049758460641311,-0.000668493367301076,-0.000668493367301076,0.00057849056138801,0.00057849056138801
0.72,0.0497455950222799,0.0497455950222799,-0.000680918745034973,-0.000680918745034973,0.00061839896012847,0.00061839896012847
0.73,0.0497322609803965,0.0497322609803965,-0.000693286273712732,-0.000693286273712732,0.000657456225333955,0.000657456225333955
0.74,0.049718449809021,0.049718449809021,-0.000705591962494477,-0.000705591962494477,0.00069567080529722,0.00069567080529722
0.75,0.0497041528420494,0.0497041528420494,-0.000717831905653689,-0.000717831905653689,0.000733051109253264,0.000733051109253264
0.76,0.0496893614567098,0.0496893614567098,-0.000730002281732371,-0.000730002281732371,0.000769605507331799,0.000769605507331799
0.77,0.0496740670762992,0.0496740670762992,-0.000742099352700128,-0.000742099352700128,0.000805342330510371,0.000805342330510371
0.78,0.0496582611728612,0.0496582611728612,-0.000754119463117152,-0.000754119463117152,0.000840269870568163,0.000840269870568163
0.79,0.0496419352698053,0.0496419352698053,-0.000766059039301124,-0.000766059039301124,0.000874396380040515,0.000874396380040515
