Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.12,0.12,0.0349065850398866,-0.0349065850398866,-25.2459581798662,-8.69516731708851
0.01,0.1205,0.1195,0.0349065850398866,-0.0349065850398866,-21.4284148946017,-7.02915302161271
0.02,0.121024459542803,0.118975540457197,0.0323819892219,-0.0357761017715954,-17.9142353823275,-5.51970966780558
0.03,0.121573378628409,0.118426621371591,0.0277145519144532,-0.0373485338054656,-14.688543609906,-4.15770615002112
0.04,0.122144988236462,0.117852633460387,0.0212556910687736,-0.0394729368061162,-11.7368926942918,-2.9343445489673
0.05,0.122736017826965,0.117252474897994,0.0133279758621035,-0.042013110421769,-9.04525454475625,-1.84115196590044
0.06,0.123341941583851,0.116624657084883,0.00422657138600419,-0.0448467184923186,-6.60001090475443,-0.869972926089869
0.07,0.123957204443824,0.115967400085111,-0.00577935854457075,-0.0478644417594581,-4.38794561051104,-0.0129622707166845
0.08,0.124575428922747,0.115278718349025,-0.0164452895656211,-0.0509691623192067,-2.39623789678883,0.737421536559433
0.09,0.125189603722575,0.11455649731482,-0.0275500151477226,-0.0540751791060269,-0.612456593160964,1.38842275541928
0.1,0.125792255073072,0.113798561460447,-0.038894364519503,-0.0571074537391912,0.975444933557519,1.94699442778027
0.11,0.126375601734384,0.113002734355572,-0.0502999595505995,-0.0600008860968135,2.37913322325115,2.4198042044405
0.12,0.126931694558842,0.112166891242041,-0.0616080100883402,-0.0626996190116579,3.60989867405448,2.81323998845575
0.13,0.127452541483073,0.111289004650467,-0.0726781473037558,-0.0651563715060581,4.67865911196266,3.13341543887444
0.14,0.127930218794521,0.110367183540142,-0.0833872946517659,-0.0673318000016128,5.59596307867382,3.38617537341359
0.15,0.128356969489893,0.109399706429498,-0.0936285760885798,-0.0691938869532801,6.37199292805522,3.57710110392613
0.16,0.128725289516656,0.10838504896471,-0.103310261217526,-0.070717356367606,7.01656781233645,3.71151573407806
0.17,0.129028002662603,0.107321906354849,-0.112354747053667,-0.0718831156715393,7.53914663033015,3.79448944451347
0.18,0.129258324832653,0.106209211083134,-0.120697576108575,-0.0726777234020647,7.94883100165277,3.83084478692818
0.19,0.129409918426375,0.105046146285366,-0.128286490500449,-0.0730928821881389,8.25436832305853,3.82516200488909
0.2,0.129476937504267,0.103832155168557,-0.135080521792158,-0.0731249564955202,8.46415495559762,3.78178439591699
0.21,0.129454064405601,0.102566946825014,-0.141049116251561,-0.0727745146024126,8.5862395843561,3.70482372628636
0.22,0.129336538455594,0.101250498779813,-0.146171295215405,-0.0720458942697133,8.62832678601919,3.59816570717774
0.23,0.129120177374842,0.0998830565925947,-0.150434850220812,-0.0709467915643853,8.59778083341062,3.46547553823585
0.24,0.12880139197937,0.0984651308180341,-0.153835572547618,-0.0694878722883396,8.50162976048741,3.31020352223168
0.25,0.12837719473528,0.0969974916130987,-0.156376516791083,-0.0676824054584703,8.3465697060001,3.13559075238911
0.26,0.127845202707855,0.095481161263367,-0.158067298058499,-0.0655459182763779,8.13896954915128,2.94467487200655
0.27,0.127203635421164,0.0939174048852391,-0.158923422355315,-0.0630958720190465,7.88487584608724,2.74029590427285
0.28,0.126451308120619,0.0923077195458046,-0.158965649697216,-0.0603513582745145,7.59001807192677,2.52510214863444
0.29,0.125587620907695,0.0906538220274768,-0.158219389454509,-0.0573328149395552,7.25981416925456,2.30155613870794
0.3,0.124612544193091,0.0889576354502437,-0.156714127404608,-0.0540617613897324,6.89937640057091,2.07194065554045
0.31,0.123526600892019,0.0872212749505423,-0.154482883937782,-0.0505605522260389,6.51351749908121,1.83836478898894
0.32,0.122330845763101,0.0854470326023243,-0.151561702830899,-0.0468521489967913,6.10675710941556,1.60277003911177
0.33,0.121026842270509,0.0836373617528678,-0.147989169974108,-0.0429599092886448,5.68332850737599,1.36693644873011
0.34,0.119616637327577,0.0817948609332929,-0.143805961406375,-0.0389073925765871,5.24718558560366,1.13248875771672
0.35,0.118102734259113,0.0799222574915665,-0.139054419987905,-0.0347181822196564,4.80201009012718,0.9009025690954
0.36,0.11648806429912,0.0780223910840417,-0.133778160010875,-0.0304157229869541,4.35121909108251,0.673510516677376
0.37,0.114775956920551,0.0760981971502616,-0.128021699024831,-0.0260231734973422,3.89797266947075,0.45150842371404
0.38,0.112970109274145,0.0741526904848742,-0.12183011612968,-0.0215632729560625,3.44518180063025,0.235961441899517
0.39,0.111074554994351,0.0721889490100576,-0.115248735967581,-0.0170582215724115,2.9955164141294,0.0278101600044947
0.4,0.109093632611754,0.0702100978418339,-0.108322837625419,-0.0125295740445705,2.55141360902392,-0.172123328543294
0.41,0.107031953793455,0.0682192937340655,-0.101097387641845,-0.0079981455007291,2.11508600285431,-0.3631294097038
0.42,0.104894371615363,0.0662197099747703,-0.0936167962973676,-0.00348392928974199,1.68853019237262,-0.544604994882187
0.43,0.102685949053501,0.0642145218006634,-0.0859246963526052,0.000993973980274733,1.27353530377036,-0.716047639137574
0.44,0.100411927865091,0.0622068923875328,-0.0780637433886054,0.00541741675080324,0.871691610118853,-0.877049741374132
0.45,0.0980776980144511,0.0601999594661698,-0.0700754368942287,0.00976925475741799,0.484399193818293,-1.02729283598659
0.46,0.0956887677836225,0.0581968226061157,-0.06199996123884,0.0140333877898953,0.112876632069519,-1.16654198502726
0.47,0.0932507346930844,0.056200531202431,-0.0538760456640696,0.018194791538774,-0.241830316277206,-1.29464027951701
0.48,0.0907692573439925,0.0542140731940476,-0.0457408424260921,0.0222395410891499,-0.578840043691145,-1.41150345804337
0.49,0.0882500282800461,0.052240364536021,-0.0376298222197424,0.0261548266115742,-0.897426467390838,-1.51711465028056
0.5,0.085698747954371,0.0502822394421433,-0.0295766860177619,0.0299289617881941,-1.19701046323626,-1.61151925253429
0.51,0.0831210998746977,0.0483424414089127,-0.0216132924625203,0.033551385499786,-1.47715137936317,-1.6948199418619
0.52,0.0805227269886077,0.0464236150267637,-0.0137695999536025,0.0370126572861244,-1.73753864804704,-1.76717183475246
0.53,0.0779092093597279,0.04452829857974,-0.00607362258262091,0.0403044470782766,-1.97798351343013,-1.82877779577364
0.54,0.075286043175452,0.0426589174304288,0.00144860092355595,0.0434195196869536,-2.19841089183864,-1.87988390100894
0.55,0.0726586211170664,0.0408177781829632,0.00877302607838979,0.0463517145160533,-2.39885138046597,-1.92077506052125
0.56,0.0700322141140423,0.0390070636132211,0.0158776101440398,0.049095920955052,-2.57943342921075,-1.95177080349268
0.57,0.0674119544957202,0.0372288283520078,0.0227423090716432,0.0516480498879986,-2.74037568944207,-1.97322122910767
0.58,0.0648028205456491,0.035484995303978,0.0293490646563255,0.0540050017405959,-2.88197955242639,-1.98550312566955
0.59,0.0622096224564346,0.0337773527823339,0.0356817826720636,0.0561646314702825,-3.00462188909761,-1.98901625987438
0.6,0.0596369896760971,0.0321075523369096,0.041726302732559,0.0581257108874021,-3.10874800179002,-1.98417983760951
0.61,0.0570893596306177,0.0304771072511083,0.0474703606041447,0.0598878886785343,-3.19486479748967,-1.97142913710363
0.62,0.054570967801553,0.0288873916812931,0.0529035436755514,0.0614516484859055,-3.26353419109754,-1.95121231472869
