Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-0.0872664625997173,-0.0872664625997173
0.01,0.05,0.05,0,0,-0.0829038003140907,-0.0829038003140907
0.02,0.05,0.05,-8.72664625997173e-06,-8.72664625997173e-06,-0.0786506728806792,-0.0786506728806792
0.03,0.05,0.05,-2.57436725513525e-05,-2.57436725513525e-05,-0.0745054762438526,-0.0745054762438526
0.04,0.0499999938851143,0.0499999938851143,-5.06257661308012e-05,-5.06257661308012e-05,-0.0704666173648593,-0.0704666173648593
0.05,0.0499999697312695,0.0499999697312695,-8.29584073346352e-05,-8.29584073346352e-05,-0.0665325142476295,-0.0665325142476295
0.06,0.0499999101032271,0.0499999101032271,-0.000122337710274955,-0.000122337710274955,-0.0627015959647808,-0.0627015959647808
0.07,0.0499997923450436,0.0499997923450436,-0.000168370264640038,-0.000168370264640038,-0.0589723026837832,-0.0589723026837832
0.08,0.0499995888630788,0.0499995888630788,-0.000220672978601599,-0.000220672978601599,-0.0553430856932412,-0.0553430856932412
0.09,0.0499992674016643,0.0499992674016643,-0.000278872922831538,-0.000278872922831538,-0.0518124074292503,-0.0518124074292503
0.1,0.0499987913115412,0.0499987913115412,-0.000342607175630802,-0.000342607175630802,-0.0483787415017863,-0.0483787415017863
0.11,0.0499981198111772,0.0499981198111772,-0.00041152266917299,-0.00041152266917299,-0.045040572721086,-0.045040572721086
0.12,0.0499972082410708,0.0499972082410708,-0.000485276036865357,-0.000485276036865357,-0.0417963971239759,-0.0417963971239759
0.13,0.0499960083111513,0.0499960083111513,-0.000563533461829833,-0.000563533461829833,-0.0386447220001098,-0.0386447220001098
0.14,0.0499944683413802,0.0499944683413802,-0.000645970526506706,-0.000645970526506706,-0.0355840659180722,-0.0355840659180722
0.15,0.0499925334956619,0.0499925334956619,-0.00073227206338359,-0.00073227206338359,-0.0326129587513078,-0.0326129587513078
0.16,0.0499901460091675,0.0499901460091675,-0.000822132006852281,-0.000822132006852281,-0.0297299417038362,-0.0297299417038362
0.17,0.0499872454091773,0.0499872454091773,-0.000915253246196104,-0.000915253246196104,-0.0269335673357122,-0.0269335673357122
0.18,0.0499837687295452,0.0499837687295452,-0.00101134747971031,-0.00101134747971031,-0.0242223995881916,-0.0242223995881916
0.19,0.0499796507188884,0.0499796507188884,-0.00111013506995809,-0.00111013506995809,-0.0215950138085641,-0.0215950138085641
