Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,0,0
0.01,0.05,0.05,0,0,0,0
0.02,0.05,0.05,0,0,0,0
0.03,0.05,0.05,0,0,-0.0485376671395461,-0.0498338850145951
0.04,0.05,0.05,0,0,-0.0457411531389964,-0.0488621733203681
0.05,0.05,0.05,-4.85376671395461e-06,-4.98338850145951e-06,-0.048318765239859,-0.0466923117036947
0.06,0.05,0.05,-1.42816487418089e-05,-1.48529943349558e-05,-0.0475664079776943,-0.0483426244665387
0.07,0.0499999965988963,0.0499999965080685,-2.8541407293649e-05,-2.93918313388216e-05,-0.0492268473562287,-0.0483550883712812
0.08,0.0499999831904374,0.0499999826084317,-4.75578066432586e-05,-4.87649307893413e-05,-0.0420279622387326,-0.0461973101657082
0.09,0.0499999497826066,0.0499999481135187,-7.14968907284911e-05,-7.29735390769891e-05,-0.0416556797829402,-0.040725574672159
0.1,0.0499998830503412,0.0499998794483221,-9.96387710375968e-05,-0.000101801878381208,-0.0391782455689399,-0.038076066575646
0.11,0.0499997662191832,0.0499997596495243,-0.000131946219324997,-0.000134702775152642,-0.0357366354336245,-0.0372061116750035
0.12,0.0499995795697149,0.0499995685166959,-0.00016817149216929,-0.000171411278581641,-0.0349577980413164,-0.0346163910105796
0.13,0.0499993004636458,0.0499992829957086,-0.000207970428556946,-0.000211840393178141,-0.0318755841719373,-0.0296841696076059
0.14,0.0499989035174096,0.0499988773643897,-0.000251265144748734,-0.000255731146875698,-0.029645776623779,-0.0302927591956269
0.15,0.0499983608433232,0.049998323293481,-0.000297747419357716,-0.000302590317534016,-0.0272598876912493,-0.027462649530896
0.16,0.0499976421041603,0.0499975900281044,-0.000347194271629075,-0.000352478764111897,-0.0253326154597603,-0.0239682397285505
0.17,0.0499967147291272,0.0499966447333696,-0.00039936711266956,-0.000405113475642867,-0.0228385485813321,-0.0215222521666822
0.18,0.049995544070108,0.0499954524517294,-0.00045407321525602,-0.000460145011146692,-0.0214378654580257,-0.0191310245333993
0.19,0.0499940935688477,0.0499939763012894,-0.000511063172700614,-0.000517328771867186,-0.0175608167740746,-0.0175333176369768
0.2,0.0499923248919987,0.0499921777206667,-0.00057019691669101,-0.00057642563504102,-0.0138210482762944,-0.0179769760049303
0.21,0.0499901981058837,0.049990016640383,-0.000631086742358813,-0.000637275829978551,-0.0153107950602947,-0.014063207236106
