Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,0,0
0.01,0.05,0.05,0,0,0,0
0.02,0.05,0.05,0,0,0,0
0.03,0.05,0.05,0,0,-0.00323206353213532,-0.00304144978606388
0.04,0.05,0.05,0,0,-0.003021183156678,-0.00306131668917023
0.05,0.05,0.05,-3.23206353213532e-07,-3.04144978606388e-07,-0.00294722230391836,-0.00312416012513523
0.06,0.05,0.05,-9.48531022094865e-07,-9.14421626129799e-07,-0.00298423693171873,-0.00286263982154062
0.07,0.0499999997735247,0.0499999997868813,-1.86857792136803e-06,-1.83711428616673e-06,-0.00300673314852552,-0.00276753475301382
0.08,0.0499999988824001,0.0499999989330142,-3.08704851381308e-06,-3.04607092835773e-06,-0.00265911880268265,-0.00287618489284336
0.09,0.0499999966819364,0.049999996791855,-4.60619242111067e-06,-4.5317810458501e-06,-0.00267324724843416,-0.00267671305601624
0.1,0.0499999923183336,0.0499999925162703,-6.39124820867653e-06,-6.30510965262682e-06,-0.00267509448516203,-0.00264486268002043
0.11,0.0499999847271059,0.0499999850652019,-8.4436287210858e-06,-8.34610956500516e-06,-0.00259046201867095,-0.0026483869583622
0.12,0.0499999726574394,0.0499999731960531,-1.07635186820113e-05,-1.06515957453855e-05,-0.00242502529851613,-0.00242260273381114
0.13,0.0499999546712016,0.0499999554786661,-1.33424548448039e-05,-1.32219206216021e-05,-0.00225986350002339,-0.00243388654441364
0.14,0.0499999291428125,0.0499999302975538,-1.6163893537448e-05,-1.60345057711999e-05,-0.00246326235817065,-0.00233049581219449
0.15,0.0499998942651747,0.0499998958516529,-1.92113185800946e-05,-1.90904795752389e-05,-0.00237522294516526,-0.00238161615340072
0.16,0.0499998480612657,0.0499998501701447,-2.25050698585582e-05,-2.23795029604975e-05,-0.00235568342693202,-0.00235813000362957
0.17,0.0499997883957114,0.0499997911116647,-2.60363434315383e-05,-2.59066879610961e-05,-0.00212254283322644,-0.0021040307519148
0.18,0.0499997129605331,0.0499997163715473,-2.98031853472116e-05,-2.96696859620576e-05,-0.00212526792075806,-0.00205550828794783
0.19,0.0499996192813171,0.0499996234782435,-3.37822815462075e-05,-3.36430870382107e-05,-0.00219606581417517,-0.00219019925460431
0.2,0.0499995047185833,0.0499995097949669,-3.79739045372793e-05,-3.78220389431585e-05,-0.00199034729360438,-0.00193949861363249
