Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.12,0.12,0.0349065850398866,-0.0349065850398866,0,0
0.01,0.1205,0.1195,0.0349065850398866,-0.0349065850398866,0,0
0.02,0.121024459542803,0.118975540457197,0.0349065850398866,-0.0349065850398866,0,0
0.03,0.121573378628409,0.118426621371591,0.0349065850398866,-0.0349065850398866,-0.133376863361655,0.109428798771286
0.04,0.122146757256818,0.117853242743182,0.0349065850398866,-0.0349065850398866,-0.134259541649788,0.110082371349107
0.05,0.122744595428029,0.117255404571971,0.0348932473535504,-0.0348956421600095,-0.135051681900397,0.111061315715469
0.06,0.123366893142044,0.116633106857956,0.0348664837130493,-0.0348736910429974,-0.135672947230608,0.111741574904792
0.07,0.124013641052955,0.11598635726897,0.0348262149043581,-0.0348406337944138,-0.133458979656345,0.110038631086652
0.08,0.124684820407095,0.115315171186475,0.0347723788009439,-0.0347964023883398,-0.130540252110817,0.107821265400463
0.09,0.125380402987537,0.114619571774158,0.034705196799564,-0.034741167119157,-0.128142755151286,0.105846259280783
0.1,0.126100351070552,0.113899590025595,0.034624960772973,-0.0346751497234343,-0.125580071460629,0.104035848589196
0.11,0.126844617580754,0.113155264644929,0.0345319104708669,-0.0345985477017834,-0.122785671822889,0.101957015285641
0.12,0.127613146295612,0.112386641891493,0.0344263021616148,-0.0345115420952736,-0.120226812191683,0.0997390675711116
0.13,0.128405872013449,0.111593775441417,0.0343084152851803,-0.0344143407872353,-0.117614718133266,0.098064939284692
0.14,0.129222720733015,0.110776726260773,0.0341785057275267,-0.0343071655724398,-0.11515777059154,0.0958672428166541
0.15,0.130063609849292,0.109935562459906,0.0340368346980598,-0.0341901838637159,-0.112444518948641,0.0941107348694663
0.16,0.130928448332797,0.10907035913802,0.0338836478915337,-0.0340636154307103,-0.110009931364083,0.0919330049415163
0.17,0.131817136912615,0.108181198265869,0.0337192166331127,-0.0339276359242178,-0.107516134581421,0.0901335686869491
0.18,0.132729568248563,0.107268168531764,0.0335437843815554,-0.0337824631172311,-0.10494334559554,0.0882100744735337
0.19,0.133665627121309,0.106331365218485,0.0333576005165399,-0.0336282769533757,-0.102760412702308,0.0863070892610142
0.2,0.134625190602967,0.105370890050694,0.0331609223169648,-0.033465269782073,-0.10015213895807,0.084445393180038
0.21,0.135608128231845,0.104386851068837,0.0329539680761195,-0.0332936319018442,-0.0978798604393576,0.0825047099069537
0.22,0.136614302192718,0.103379362494369,0.0327369986213784,-0.0331135494822973,-0.095442345555977,0.0805758490602305
0.23,0.137643567469793,0.102348544596404,0.0325102411805934,-0.0329252165917598,-0.0931690229554214,0.078776579509319
0.24,0.138695772029473,0.101294523561266,0.0322739395052528,-0.0327288261163163,-0.0905858211949352,0.0770370037163496
0.25,0.13977075697958,0.100217431356502,0.0320283209276166,-0.0325245579829218,-0.088616693231647,0.0752485894679858
0.26,0.140868356740155,0.0991174055957234,0.0317736437678609,-0.0323125861491557,-0.0863591636341527,0.0733169416272526
0.27,0.141988399202751,0.0979945894125297,0.0315101049387821,-0.0320930894564427,-0.0841671463664068,0.0719049097696394
0.28,0.143130705911445,0.096849131338613,0.0312379301933398,-0.0318662610695671,-0.0817651527548867,0.0700852400134554
0.29,0.144295092200814,0.0956811851784414,0.0309573387332609,-0.0316322421917145,-0.0796076534953958,0.068379932542867
0.3,0.145481367354125,0.0944909098739061,0.0306685707579066,-0.0313912147898605,-0.0776439143384772,0.0667465832635396
0.31,0.146689334756935,0.0932784694053779,0.0303718420172027,-0.0311433493947523,-0.075365977700085,0.0650475481895903
0.32,0.147918792065397,0.0920440326642005,0.0300673488850649,-0.0308888093413177,-0.0733655087130242,0.0632727698411502
0.33,0.149169531357443,0.0907877733331972,0.0297553191551571,-0.0306277645330641,-0.071211020521587,0.0617776981003937
