Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,0,0
0.01,0.05,0.05,0,0,0,0
0.02,0.05,0.05,0,0,0,0
0.03,0.05,0.05,0,0,-0.108141690162973,-0.109964464381559
0.04,0.05,0.05,0,0,-0.109006456733236,-0.108838106701282
0.05,0.05,0.05,-1.08141690162973e-05,-1.09964464381559e-05,-0.111546029663104,-0.111628756119989
0.06,0.05,0.05,-3.25289837059181e-05,-3.287670354644e-05,-0.112371084736183,-0.107377354700759
0.07,0.0499999924223573,0.0499999922946329,-6.53984013618493e-05,-6.5919836266723e-05,-0.103380891518828,-0.105046976146247
0.08,0.049999962051191,0.0499999615520899,-0.000109504927491399,-0.000109700704457082,-0.0944582905344538,-0.101562453737358
0.09,0.0499998858544306,0.049999884618576,-0.000163949542772831,-0.000163986270262065,-0.0912222329655835,-0.0893782465695358
0.1,0.0499997329260031,0.0499997308162113,-0.000227839987107709,-0.000228428081440785,-0.0861355592628551,-0.0848454575953951
0.11,0.0499994651157889,0.0499994621063244,-0.000300852654739145,-0.000301807717276458,-0.0775226277817296,-0.0758440810189393
0.12,0.0499990376548409,0.0499990333336175,-0.000382478878296866,-0.00038367189887167,-0.0671172077933516,-0.0685973451498965
0.13,0.0499983993821398,0.0499983930799316,-0.000471857364632761,-0.000473120488568777,-0.0634313573397488,-0.0656698866645276
0.14,0.0499974931010247,0.0499974839818651,-0.000567947571747991,-0.000569428812780873,-0.0601907030855983,-0.0569107858784208
0.15,0.0499962561827134,0.0499962433615135,-0.000670380914597195,-0.000672304125659422,-0.0549466005919292,-0.0545283112803348
0.16,0.049994621295425,0.049994603734258,-0.00077883332775496,-0.000780870517125812,-0.0475413612975895,-0.045551050372152
0.17,0.0499925166626529,0.0499924930138973,-0.000892780400971917,-0.000894889739720237,-0.0446270987369603,-0.0420681182543119
0.18,0.0499898662902418,0.04998983512641,-0.00101148161031863,-0.00101346406735188,-0.0352386962995174,-0.0379731553737074
0.19,0.0499865903338498,0.0499865501768979,-0.00113464552953905,-0.00113624520680895,-0.0337269579214199,-0.0292134310918578
0.2,0.0499826056178437,0.0499825550786358,-0.00126133331838941,-0.00126282366180339,-0.0320884934718983,-0.0231462047301908
0.21,0.0499778258395058,0.0499777637971252,-0.00139139380303192,-0.00139232345990702,-0.0196810746238562,-0.0262573494890162
