Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,0,0
0.01,0.05,0.05,0,0,0,0
0.02,0.05,0.05,0,0,0,0
0.03,0.05,0.05,0,0,-0.0842832732350837,-0.0838401407740737
0.04,0.05,0.05,0,0,-0.085575986350841,-0.0850861229353042
0.05,0.05,0.05,-8.42832732350837e-06,-8.38401407740737e-06,-0.0836869560510129,-0.0838800731430596
0.06,0.05,0.05,-2.54142532821008e-05,-2.52766404483452e-05,-0.086207418822899,-0.0861769378935905
0.07,0.0499999940941506,0.0499999941252016,-5.07688748457946e-05,-5.05572741335889e-05,-0.0805094409726954,-0.0825169553056771
0.08,0.0499999703801709,0.0499999705387001,-8.47442382917783e-05,-8.44556016081917e-05,-0.0760591703073391,-0.0765155357669206
0.09,0.0499999110917154,0.0499999115259944,-0.000126770545835031,-0.000126605624613362,-0.0744285698707695,-0.0713697677431065
0.1,0.0499997924217614,0.0499997933340421,-0.000176402770409019,-0.000176407201195225,-0.0640780826909274,-0.0654353693916447
0.11,0.049999584921875,0.04999958642772,-0.000233477851970083,-0.000233345754551398,-0.0636947098466748,-0.0627522673832603
0.12,0.0499992538140472,0.0499992559103519,-0.000296960741800239,-0.000296827844846736,-0.063648650504873,-0.0562943921336259
0.13,0.0499987591049533,0.0499987618842801,-0.000366813102615064,-0.000366585161880399,-0.0540598969111087,-0.0546241305840065
0.14,0.0499980563112252,0.049998059866697,-0.000443030328480375,-0.000441971918127426,-0.0481424663548498,-0.052425984157371
0.15,0.0499970964863159,0.0499971009776541,-0.000524653544036798,-0.000522821087432853,-0.0478224369231541,-0.0492661773666813
0.16,0.0499958262237265,0.0499958323925742,-0.000611091006228705,-0.000608912855154017,-0.0436192261147844,-0.0366412709595697
0.17,0.0499941883289037,0.0499941974592895,-0.000702310712112928,-0.000699931240611849,-0.0370140560769173,-0.0396464353009094
0.18,0.049992122233883,0.0499921358520684,-0.000797892340608629,-0.000794613753165638,-0.0337764650200018,-0.0358896560348595
0.19,0.0499895640197133,0.0499895837930281,-0.000897175374712022,-0.000893260909249518,-0.0315215832254504,-0.030810134716291
0.2,0.0499864467109821,0.0499864749367792,-0.000999836055317416,-0.000995497030936884,-0.0283287168585802,-0.0295854940396373
0.21,0.049982700738649,0.0499827401598504,-0.00110564889424535,-0.00110081416609588,-0.0270366969011072,-0.0238416575915384
