Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-0.749999999999999,-0.749999999999999
0.01,0.05,0.05,0,0,-0.658574007089398,-0.658574007089398
0.02,0.05,0.05,-7.49999999999999e-05,-7.49999999999999e-05,-0.574070488965256,-0.574070488965256
0.03,0.05,0.05,-0.00021585740070894,-0.00021585740070894,-0.496063260202115,-0.496063260202115
0.04,0.0499999474464286,0.0499999474464286,-0.000414121850314405,-0.000414121850314405,-0.424150157087319,-0.424150157087319
0.05,0.0499997436384928,0.0499997436384928,-0.000661992625940081,-0.000661992625940081,-0.357951709061966,-0.357951709061966
0.06,0.0499992496494605,0.0499992496494605,-0.00095227841727449,-0.00095227841727449,-0.297109884746965,-0.297109884746965
0.07,0.0499982917927381,0.0499982917927381,-0.0012783593795151,-0.0012783593795151,-0.241286908281391,-0.241286908281391
0.08,0.0499966666609248,0.0499966666609248,-0.0016341513302304,-0.0016341513302304,-0.190164141947971,-0.190164141947971
0.09,0.049994145764432,0.049994145764432,-0.00201407197177384,-0.00201407197177384,-0.143441031293744,-0.143441031293744
0.1,0.049990479794757,0.049990479794757,-0.00241300902751208,-0.00241300902751208,-0.100834109173645,-0.100834109173645
0.11,0.049985402536079,0.049985402536079,-0.00282629018637969,-0.00282629018637969,-0.0620760553516627,-0.0620760553516627
0.12,0.0499786344475039,0.0499786344475039,-0.00324965475616466,-0.00324965475616466,-0.0269148084891181,-0.0269148084891181
0.13,0.0499698859370195,0.0499698859370195,-0.00367922693148481,-0.00367922693148481,0.00488727246680365,0.00488727246680365
0.14,0.0499588603470239,0.0499588603470239,-0.00411149058765386,-0.00411149058765386,0.0335542003082682,0.0335542003082682
0.15,0.0499452566701571,0.0499452566701571,-0.00454326551657624,-0.00454326551657624,0.0592971076568825,0.0592971076568825
0.16,0.0499287720130998,0.0499287720130998,-0.00497168502546778,-0.00497168502546778,0.0823149536164257,0.0823149536164257
0.17,0.0499091038249914,0.0499091038249914,-0.00539417482359364,-0.00539417482359364,0.102795191341519,0.102795191341519
0.18,0.0498859519061615,0.0498859519061615,-0.00580843312635786,-0.00580843312635786,0.120914398739473,0.120914398739473
0.19,0.049859020211973,0.049859020211973,-0.00621241190998793,-0.00621241190998793,0.136838874394409,0.136838874394409
0.2,0.0498280184657153,0.0498280184657153,-0.00660429925374404,-0.00660429925374404,0.150725200682053,0.150725200682053
0.21,0.0497926635936836,0.0497926635936836,-0.00698250271006072,-0.00698250271006072,0.162720775929919,0.162720775929919
