Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-20,-20
0.01,0.05,0.05,0,0,-15.6213679056639,-15.6213679056639
0.02,0.05,0.05,-0.002,-0.002,-11.7664907312109,-11.7664907312109
0.03,0.05,0.05,-0.00556213679056639,-0.00556213679056639,-8.3937829952842,-8.3937829952842
0.04,0.0499985985714286,0.0499985985714286,-0.0103009226542539,-0.0103009226542539,-5.46365869871037,-5.46365869871037
0.05,0.0499932996741489,0.0499932996741489,-0.0158790868174698,-0.0158790868174698,-2.93854110600897,-2.93854110600897
0.06,0.0499807827732094,0.0499807827732094,-0.0220036168505567,-0.0220036168505567,-0.782858233692782,-0.782858233692782
0.07,0.0499571391692927,0.0499571391692927,-0.0284220009942445,-0.0284220009942445,1.0369740844226,1.0369740844226
0.08,0.0499180773167115,0.0499180773167115,-0.0349186709613016,-0.0349186709613016,2.55257985021413,2.55257985021413
0.09,0.049859099762005,0.049859099762005,-0.0413116435199165,-0.0413116435199165,3.79365972228358,3.79365972228358
0.1,0.0497756541957178,0.0497756541957178,-0.0474493580935099,-0.0474493580935099,4.78803559856697,4.78803559856697
0.11,0.0496632609706499,0.0496632609706499,-0.053207706694875,-0.053207706694875,5.56170168776088,5.56170168776088
0.12,0.0495176193025178,0.0495176193025178,-0.0584872517363834,-0.0584872517363834,6.13888092089826,6.13888092089826
0.13,0.0493346942341946,0.0493346942341946,-0.0632106266091157,-0.0632106266091157,6.54208566938685,6.54208566938685
0.14,0.0491107863130475,0.0491107863130475,-0.0673201133897582,-0.0673201133897582,6.79218184217886,6.79218184217886
0.15,0.0488425858028264,0.0488425858028264,-0.0707753916034619,-0.0707753916034619,6.90845553294895,6.90845553294895
0.16,0.0485272131274373,0.0485272131274373,-0.0735514516329478,-0.0735514516329478,6.90868147868225,6.90868147868225
0.17,0.0481622471240745,0.0481622471240745,-0.0756366661091388,-0.0756366661091388,6.80919267436849,6.80919267436849
0.18,0.0477457425678176,0.0477457425678176,-0.0770310124374616,-0.0770310124374616,6.62495056499933,6.62495056499933
0.19,0.0472762383190941,0.0472762383190941,-0.0777444394983475,-0.0777444394983475,6.36961530619412,6.36961530619412
0.2,0.0467527573395127,0.0467527573395127,-0.0777953715027335,-0.0777953715027335,6.05561564894245,6.05561564894245
0.21,0.04617479972054,0.04617479972054,-0.0772093419765001,-0.0772093419765001,5.69421806253772,5.69421806253772
0.22,0.0455423297733928,0.0455423297733928,-0.0760177508853725,-0.0760177508853725,5.29559476315717,5.29559476315717
0.23,0.0448557581373322,0.0448557581373322,-0.074256737987991,-0.074256737987991,4.86889036407659,4.86889036407659
0.24,0.0441159197772582,0.0441159197772582,-0.0719661656142939,-0.0719661656142939,4.42228690752908,4.42228690752908
0.25,0.0433240486600656,0.0433240486600656,-0.0691887042041891,-0.0691887042041891,3.96306707805035,3.96306707805035
0.26,0.0424817498225389,0.0424817498225389,-0.0659690141033313,-0.0659690141033313,3.49767543310082,3.49767543310082
0.27,0.0415909694715662,0.0415909694715662,-0.0623530172946686,-0.0623530172946686,3.03177751910697,3.03177751910697
0.28,0.0406539636899969,0.0406539636899969,-0.0583872529426957,-0.0583872529426957,2.57031677009372,2.57031677009372
0.29,0.0396732662584519,0.0396732662584519,-0.0541183108388122,-0.0541183108388122,2.11756911204088,2.11756911204088
0.3,0.0386516560446662,0.0386516560446662,-0.0495923370579193,-0.0495923370579193,1.67719521923432,1.67719521923432
