Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-0.668221974307171,-0.668221974307171
0.01,0.05,0.05,0,0,-0.610598873324351,-0.610598873324351
0.02,0.05,0.05,-6.68221974307171e-05,-6.68221974307171e-05,-0.555460379732097,-0.555460379732097
0.03,0.05,0.05,-0.000194704282193869,-0.000194704282193869,-0.502745671305337,-0.502745671305337
0.04,0.0499999531767317,0.0499999531767317,-0.000378132404930231,-0.000378132404930231,-0.452394550867903,-0.452394550867903
0.05,0.0499997699213913,0.0499997699213913,-0.000611835094797127,-0.000611835094797127,-0.404347446394543,-0.404347446394543
0.06,0.0499993217032729,0.0499993217032729,-0.000890777239750813,-0.000890777239750813,-0.358545411988206,-0.358545411988206
0.07,0.0499984447635631,0.0499984447635631,-0.00121015412934395,-0.00121015412934395,-0.314930129656816,-0.314930129656816
0.08,0.049996943643516,0.049996943643516,-0.00156538556013591,-0.00156538556013591,-0.273443911816435,-0.273443911816435
0.09,0.0499945945511825,0.0499945945511825,-0.00195211000389356,-0.00195211000389356,-0.234029704450396,-0.234029704450396
0.1,0.0499911485708244,0.0499911485708244,-0.00236617883883284,-0.00236617883883284,-0.196631090856588,-0.196631090856588
0.11,0.0499863347190993,0.0499863347190993,-0.00280365064421717,-0.00280365064421717,-0.161192295917665,-0.161192295917665
0.12,0.0499798628520593,0.0499798628520593,-0.00326078555868715,-0.00326078555868715,-0.127658190831542,-0.127658190831542
0.13,0.0499714264269607,0.0499714264269607,-0.0037340397027489,-0.0037340397027489,-0.0959742982420312,-0.0959742982420312
0.14,0.0499607051228385,0.0499607051228385,-0.00422005966589381,-0.00422005966589381,-0.0660867977119736,-0.0660867977119736
0.15,0.0499473673237532,0.0499473673237532,-0.00471567705886292,-0.00471567705886292,-0.0379425314836797,-0.0379425314836797
0.16,0.0499310724685734,0.0499310724685734,-0.00521790313160322,-0.00521790313160322,-0.0114890104738963,-0.0114890104738963
0.17,0.0499114732711116,0.0499114732711116,-0.0057239234574919,-0.0057239234574919,0.0133255795471032,0.0133255795471032
0.18,0.0498882178143841,0.0498882178143841,-0.00623109268442796,-0.00623109268442796,0.0365523716403742,0.0365523716403742
0.19,0.0498609515227195,0.0498609515227195,-0.00673692935340931,-0.00673692935340931,0.058241811292874,0.058241811292874
0.2,0.0498293190153954,0.0498293190153954,-0.00723911078522663,-0.00723911078522663,0.0784436499652766,0.0784436499652766
0.21,0.0497929658454315,0.0497929658454315,-0.00773546803591466,-0.00773546803591466,0.0972069386343386,0.0972069386343386
0.22,0.0497515401271245,0.0497515401271245,-0.00822398092160616,-0.00822398092160616,0.114580021368957,0.114580021368957
0.23,0.049704694055858,0.049704694055858,-0.00870277311343422,-0.00870277311343422,0.130610528976943,0.130610528976943
0.24,0.0496520853236744,0.0496520853236744,-0.00917010730312539,-0.00917010730312539,0.14534537275744,0.14534537275744
0.25,0.0495933784340448,0.0495933784340448,-0.00962438043991887,-0.00962438043991887,0.158830738391908,0.158830738391908
0.26,0.0495282459192264,0.0495282459192264,-0.0100641190394366,-0.0100641190394366,0.171112080004559,0.171112080004559
0.27,0.0494563694635426,0.0494563694635426,-0.0104879745651151,-0.0104879745651151,0.182234114421249,0.182234114421249
0.28,0.0493774409358747,0.0493774409358747,-0.0108947188827932,-0.0108947188827932,0.192240815653859,0.192240815653859
0.29,0.0492911633346009,0.0492911633346009,-0.0112832397890292,-0.0112832397890292,0.201175409635414,0.201175409635414
