Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-0.65365232798723,-0.65365232798723
0.01,0.05,0.05,0,0,-0.597594060089988,-0.597594060089988
0.02,0.05,0.05,-6.5365232798723e-05,-6.5365232798723e-05,-0.543939695183101,-0.543939695183101
0.03,0.05,0.05,-0.000190489871606445,-0.000190489871606445,-0.492630706631038,-0.492630706631038
0.04,0.0499999541976476,0.0499999541976476,-0.000370008479932477,-0.000370008479932477,-0.443609166403103,-0.443609166403103
0.05,0.0499997749163209,0.0499997749163209,-0.000598790158921613,-0.000598790158921613,-0.396817745124136,-0.396817745124136
0.06,0.0499993363647664,0.0499993363647664,-0.000871932754551059,-0.000871932754551059,-0.352199712956589,-0.352199712956589
0.07,0.0499984782323935,0.0499984782323935,-0.00118475712469292,-0.00118475712469292,-0.309698941242524,-0.309698941242524
0.08,0.0499970091242832,0.0499970091242832,-0.00153280146613044,-0.00153280146613044,-0.26925990483659,-0.26925990483659
0.09,0.0499947098399306,0.0499947098399306,-0.00191181570169221,-0.00191181570169221,-0.230827685063523,-0.230827685063523
0.1,0.0499913364996935,0.0499913364996935,-0.00231775592773764,-0.00231775592773764,-0.194347973236199,-0.194347973236199
0.11,0.0499866235228825,0.0499866235228825,-0.00274677892228942,-0.00274677892228942,-0.159767074672651,-0.159767074672651
0.12,0.0499802864613822,0.0499802864613822,-0.00319523671416482,-0.00319523671416482,-0.127031913152934,-0.127031913152934
0.13,0.0499720246926514,0.0499720246926514,-0.00365967121350749,-0.00365967121350749,-0.0960900357590122,-0.0960900357590122
0.14,0.0499615239759087,0.0499615239759087,-0.00413680890416545,-0.00413680890416545,-0.0668896180432346,-0.0668896180432346
0.15,0.0499484588752657,0.0499484588752657,-0.00462355559839931,-0.00462355559839931,-0.0393794694732451,-0.0393794694732451
0.16,0.0499324950535262,0.0499324950535262,-0.0051169912544375,-0.0051169912544375,-0.0135090391034267,-0.0135090391034267
0.17,0.0499132914403282,0.0499132914403282,-0.00561436485742301,-0.00561436485742301,0.0107715785747717,0.0107715785747717
0.18,0.0498905022782583,0.0498905022782583,-0.00611308936431886,-0.00611308936431886,0.0335116376491005,0.0335116376491005
