Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.12,0.12,0.0349065850398866,-0.0349065850398866,-3.55087718900117,-3.55087718900117
0.01,0.1205,0.1195,0.0349065850398866,-0.0349065850398866,-3.2831193885999,-3.2831193885999
0.02,0.121024459542803,0.118975540457197,0.0345514973209865,-0.0348722438686539,-3.02557608801773,-3.02557608801773
0.03,0.121573378628409,0.118426621371591,0.0338680976632264,-0.0348026782177569,-2.7780388480163,-2.7780388480163
0.04,0.12214650844178,0.117853266806532,0.0328821403966645,-0.0346971759403296,-2.54030026680964,-2.54030026680964
0.05,0.122743370115014,0.117255525507664,0.031618379245301,-0.0345551877003272,-2.31215398681529,-2.31215398681529
0.06,0.123363272773769,0.11663347140194,0.0301005880672565,-0.0343763188180604,-2.09339470636813,-2.09339470636813
0.07,0.124005330882553,0.11598720398255,0.0283515814905305,-0.0341603213113815,-1.88381819604467,-1.88381819604467
0.08,0.124668480903403,0.115316848585474,0.0263932354431677,-0.0339070861318201,-1.68322131925594,-1.68322131925594
0.09,0.125351497282426,0.11462255656325,0.0242465075762004,-0.0336166355948895,-1.49140205677715,-1.49140205677715
0.1,0.126053007778571,0.113904505361386,0.0219314575773075,-0.0332891160037052,-1.30815953489307,-1.30815953489307
0.11,0.126771508148953,0.113162898502724,0.0194672673727369,-0.0329247904649793,-1.13329405684764,-1.13329405684764
0.12,0.127505376204966,0.112397965484919,0.016872261214677,-0.0325240318963753,-0.966607137296995,-0.966607137296995
0.13,0.128252885253331,0.111609961596081,0.0141639256509324,-0.0320873162241271,-0.807901539474788,-0.807901539474788
0.14,0.129012216936161,0.110799167653464,0.011358929373458,-0.0316152157697483,-0.656981314788935,-0.656981314788935
0.15,0.129781473484037,0.109965889669979,0.00847314294203615,-0.0311083928245781,-0.513651844578633,-0.513651844578633
0.16,0.130558689395995,0.109110458453158,0.00552165837913541,-0.0305675934108309,-0.377719883770439,-0.377719883770439
0.17,0.131341842560257,0.108233229141079,0.00251880863177681,-0.0299936412277379,-0.248993606181867,-0.248993606181867
0.18,0.132128864829427,0.107334580679617,-0.000521813103958829,-0.0293874317812954,-0.127282651230594,-0.127282651230594
0.19,0.132917652063787,0.106414915245267,-0.00358733420031266,-0.028749926696052,-0.0123981718168924,-0.0123981718168924
0.2,0.133706073656252,0.105474657617646,-0.00666558356178955,-0.0280821482072982,0.0958471168436961,0.0958471168436961
