Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.12,0.12,0.0349065850398866,-0.0349065850398866,-3.49117675666008,-3.49117675666008
0.01,0.1205,0.1195,0.0349065850398866,-0.0349065850398866,-3.2295516968685,-3.2295516968685
0.02,0.121024459542803,0.118975540457197,0.0345574673642206,-0.0348712204816545,-2.97784531388358,-2.97784531388358
0.03,0.121573378628409,0.118426621371591,0.0338853945188677,-0.0347997459025787,-2.73585654763038,-2.73585654763038
0.04,0.122146512625075,0.117853267523633,0.0329155371421265,-0.0346915778458024,-2.50338532808363,-2.50338532808363
0.05,0.122743390601757,0.117255528996583,0.0316720941106223,-0.034546286873446,-2.28023258150971,-2.28023258150971
0.06,0.123363332965537,0.116633481585341,0.0301783125463096,-0.0343635897681547,-2.06620024144477,-2.06620024144477
0.07,0.124005468418119,0.115987227097369,0.028456507723846,-0.0341433419223721,-1.86109126407543,-1.86109126407543
0.08,0.124668750245421,0.115316893551138,0.026528082877238,-0.0338855299146641,-1.66470964769831,-1.66470964769831
0.09,0.125351971954206,0.11462263527746,0.0244135489042224,-0.033590264272345,-1.47686045594403,-1.47686045594403
0.1,0.126053782269636,0.113904632928892,0.0221325439664369,-0.0332577724195776,-1.29734984446133,-1.29734984446133
0.11,0.126772699507549,0.113163093402287,0.0197038529830571,-0.0328883918100463,-1.12598509076625,-1.12598509076625
0.12,0.127507125335197,0.112398249679437,0.0171454270152311,-0.0324825632432223,-0.962574626971125,-0.962574626971125
0.13,0.128255357934115,0.111610360590612,0.0144744025383285,-0.0320408243631645,-0.806928075117305,-0.806928075117305
0.14,0.129015604578677,0.110799710505685,0.0117071205987288,-0.031563803338723,-0.658856284845205,-0.658856284845205
0.15,0.129785993643874,0.109966608957401,0.00885914585161738,-0.0310522127239341,-0.518171373144449,-0.518171373144449
0.16,0.13056458605572,0.109111390201206,0.00594528547602141,-0.0305068434973214,-0.384686765936132,-0.384686765936132
0.17,0.131349386197623,0.108234412715952,0.00297960796311101,-0.0299285592787414,-0.258217241248442,-0.258217241248442
0.18,0.132138352285992,0.107336058649648,-2.45382263930108e-05,-0.0293182907223375,-0.138578973755874,-0.138578973755874
0.19,0.132929406228227,0.106416733214306,-0.00305450614002187,-0.0286770300840928,-0.0255895804612458,-0.0255895804612458
0.2,0.133720442976175,0.105476864033822,-0.00609833195102633,-0.028005825962401,0.0809318326913613,0.0809318326913613
0.21,0.134509339388036,0.104516900448687,-0.0091447167200769,-0.027305778210001,0.181164623475979,0.181164623475979
0.22,0.135293962611579,0.103537312781216,-0.0121830083058583,-0.0265780330155543,0.275286565510934,0.275286565510934
0.23,0.136072178001478,0.102538591564871,-0.0152031834292922,-0.025823778153074,0.363473800037901,0.363473800037901
0.24,0.136841856583414,0.101521246741106,-0.0181958298961749,-0.0250442383973485,0.445900787531451,0.445900787531451
0.25,0.137600882077533,0.100485806827078,-0.0211521289830539,-0.0242406711034386,0.522740259308469,0.522740259308469
0.26,0.138347157493703,0.0994328180574303,-0.0240638379911797,-0.0234143619482633,0.594163169298684,0.594163169298684
0.27,0.139078611310921,0.098362843503245,-0.0269232729733747,-0.0225666208322292,0.660338646129549,0.660338646129549
0.28,0.13979320325309,0.0972764621711516,-0.0297232916386398,-0.0216987779387997,0.721433945670836,0.721433945670836
0.29,0.140488929673268,0.0961742680854608,-0.0324572764392919,-0.020812179949842,0.777614404176617,0.777614404176617
0.3,0.141163828558377,0.0950568693560857,-0.035119117845377,-0.0199081864145381,0.829043392154689,0.829043392154689
0.31,0.141815984166209,0.0939248872349029,-0.0377031978110444,-0.0189881662695909,0.875882269086095,0.875882269086095
0.32,0.142443531306465,0.0927789551630968,-0.0402043734374963,-0.0180534945084076,0.918290339110096,0.918290339110096
0.33,0.143044659277398,0.091619717811926,-0.0426179608370396,-0.0171055489968962,0.956424807782826,0.956424807782826
0.34,0.143617615469515,0.0904478301192462,-0.0449397192026719,-0.0161457074334627,0.990440740010869,0.990440740010869
0.35,0.144160708647646,0.0892639563240192,-0.0471658350875259,-0.0151753444507571,1.0204910192542,1.0204910192542
0.36,0.144672311922535,0.0880687690009407,-0.0492929068983789,-0.0141958288566726,1.04672630808625,1.04672630808625
0.37,0.145150865422981,0.0868629480972149,-0.0513179296073064,-0.0132085210120681,1.06929501019233,1.06929501019233
0.38,0.145594878679379,0.0856471799734116,-0.0532382796854253,-0.0122147703426452,1.08834323388133,1.08834323388133
0.39,0.146002932729387,0.0844221564502421,-0.055051700262525,-0.0112159129823802,1.10401475717948,1.10401475717948
0.4,0.146373681956273,0.0831885738629967,-0.0567562865162365,-0.0102132695458819,1.11645099456874,1.11645099456874
0.41,0.146705855670333,0.0819471321252972,-0.0583504712942301,-0.00920814302701486,1.1257909654268,1.1257909654268
0.42,0.146998259443626,0.0806985338037231,-0.0598330109727668,-0.00820181682110771,1.13217126421977,1.13217126421977
0.43,0.147249776208105,0.0794434832047851,-0.0612029715547608,-0.00719555286803805,1.13572603249315,1.13572603249315
0.44,0.147459367127039,0.0781826854756317,-0.0624597150103329,-0.00619058991347004,1.13658693270136,1.13658693270136
0.45,0.147626072249475,0.0769168457197901,-0.0636028858626556,-0.00518814188549996,1.13488312391096,1.13488312391096
0.46,0.147749010957323,0.075646668129159,-0.0646323980217082,-0.00418939638395185,1.13074123940732,1.13074123940732
0.47,0.147827382214434,0.0743728551333925,-0.0655484218683697,-0.00319551327955196,1.12428536623023,1.12428536623023
0.48,0.147860464626931,0.0730961065677313,-0.0663513715910905,-0.00220762342020104,1.11563702665849,1.11563702665849
0.49,0.147847616323818,0.0718171188602649,-0.0670418927771882,-0.00122682744155574,1.10491516165969,1.10491516165969
