Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-1.5811388300842,-1.5811388300842
0.01,0.05,0.05,0,0,-1.41475741267449,-1.41475741267449
0.02,0.05,0.05,-0.00015811388300842,-0.00015811388300842,-1.25720911463665,-1.25720911463665
0.03,0.05,0.05,-0.000457703507284288,-0.000457703507284288,-1.10821860011128,-1.10821860011128
0.04,0.0499998892073434,0.0499998892073434,-0.000883014043023821,-0.000883014043023821,-0.967514762008446,-0.967514762008446
0.05,0.0499994576953006,0.0499994576953006,-0.00141914643877448,-0.00141914643877448,-0.834830711112274,-0.834830711112274
0.06,0.0499984074427034,0.0499984074427034,-0.00205203031072599,-0.00205203031072599,-0.709903768606736,-0.709903768606736
0.07,0.0499963627739231,0.0499963627739231,-0.00276839725378872,-0.00276839725378872,-0.592475461640731,-0.592475461640731
0.08,0.0499928802181892,0.0499928802181892,-0.00355575457371213,-0.00355575457371213,-0.482291521564201,-0.482291521564201
0.09,0.0499874578069512,0.0499874578069512,-0.00440235943979961,-0.00440235943979961,-0.379101884481082,-0.379101884481082
0.1,0.0499795438276868,0.0499795438276868,-0.00529719345804351,-0.00529719345804351,-0.282660693778854,-0.282660693778854
0.11,0.0499685450522721,0.0499685450522721,-0.00622993766473552,-0.00622993766473552,-0.192726304308536,-0.192726304308536
0.12,0.0499538344577272,0.0499538344577272,-0.00719094794080541,-0.00719094794080541,-0.109061287903035,-0.109061287903035
0.13,0.0499347584568615,0.0499347584568615,-0.00817123084730616,-0.00817123084730616,-0.0314324399358055,-0.0314324399358055
0.14,0.0499106436560458,0.0499106436560458,-0.00916241988259721,-0.00916241988259721,0.0403892133641872,0.0403892133641872
0.15,0.0498808031570435,0.0498808031570435,-0.0101567521618818,-0.0101567521618818,0.106628407111302,0.106628407111302
0.16,0.0498445424195378,0.0498445424195378,-0.0111470455198301,-0.0111470455198301,0.167505629732064,0.167505629732064
0.17,0.0498011647006958,0.0498011647006958,-0.0121266760370671,-0.0121266760370671,0.223237114946495,0.223237114946495
0.18,0.0497499760878146,0.0497499760878146,-0.013089555991331,-0.013089555991331,0.274034833990845,0.274034833990845
0.19,0.049690290139796,0.049690290139796,-0.0140301122341002,-0.0140301122341002,0.320106488297119,0.320106488297119
0.2,0.0496214321529005,0.0496214321529005,-0.0149432649934704,-0.0149432649934704,0.361655502831596,0.361655502831596
0.21,0.0495427430659325,0.0495427430659325,-0.0158244071040108,-0.0158244071040108,0.398881020281413,0.398881020281413
0.22,0.0494535830197083,0.0494535830197083,-0.0166693836642681,-0.0166693836642681,0.431977896265411,0.431977896265411
0.23,0.0493533345853634,0.0493533345853634,-0.0174744721224972,-0.0174744721224972,0.461136695732848,0.461136695732848
0.24,0.0492414056757509,0.0492414056757509,-0.0182363627910998,-0.0182363627910998,0.486543690701108,0.486543690701108
0.25,0.0491172321538868,0.0491172321538868,-0.0189521397901291,-0.0189521397901291,0.508380859471443,0.508380859471443
0.26,0.0489802801520956,0.0489802801520956,-0.0196192624200883,-0.0196192624200883,0.52682588744986,0.52682588744986
0.27,0.0488300481152085,0.0488300481152085,-0.0202355469641003,-0.0202355469641003,0.542052169688681,0.542052169688681
0.28,0.0486660685808685,0.0486660685808685,-0.0207991489193674,-0.0207991489193674,0.554228815252966,0.554228815252966
0.29,0.0484879097096916,0.0484879097096916,-0.0213085456576656,-0.0213085456576656,0.563520653504979,0.563520653504979
0.3,0.0482951765777361,0.0482951765777361,-0.0217625195144385,-0.0217625195144385,0.570088242389129,0.570088242389129
