Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.12,0.12,0.0349065850398866,-0.0349065850398866,-6.87738810276044,-0.712078281643694
0.01,0.1205,0.1195,0.0349065850398866,-0.0349065850398866,-6.22661220489285,-0.564223375944689
0.02,0.121024459542803,0.118975540457197,0.0342188462296106,-0.034977792868051,-5.60735701409708,-0.427246736158841
0.03,0.121573378628409,0.118426621371591,0.0329084461988452,-0.0351054230338098,-5.01875091808089,-0.300698362453234
0.04,0.122146275348408,0.11785319284684,0.0310373104666702,-0.0352757778731845,-4.45993232049785,-0.184138537142695
0.05,0.12274223148678,0.117255165450663,0.0286642996426871,-0.0354762025488046,-3.93004965389932,-0.0771377594395899
0.06,0.123359935911986,0.11663241981299,0.0258452955866541,-0.0356950410781389,-3.42826140913409,0.0207233198217569
0.07,0.123997725821442,0.115984815493389,0.0226332865652313,-0.0359215933834172,-2.95373617968603,0.109853963810524
0.08,0.124653625898734,0.115312199148575,0.019078451402895,-0.0361460733567133,-2.50565271948524,0.190653415977072
0.09,0.125325385443254,0.114614412030111,0.0152282426225902,-0.0363595679336283,-2.08320001277257,0.263510967263379
0.1,0.126010513531222,0.113891296841674,0.0111274685703368,-0.0365539971689456,-1.68557735464397,0.328806024505466
0.11,0.126706312266342,0.113142703984564,0.00681837451680617,-0.0367220753075366,-1.3119944409471,0.386908180266124
0.12,0.127409908177653,0.112368497219437,0.00234072272781114,-0.0368572728436771,-0.961671466250411,0.438177284315844
0.13,0.128118281821393,0.111568558771542,-0.0022681285052786,-0.0369537795617909,-0.63383922865184,0.482963516959972
0.14,0.128828295642988,0.110742793906032,-0.00697314688499339,-0.0370064685514732,-0.327739240242544,0.521607464390642
0.15,0.129536720154537,0.109891134999272,-0.0117415491875734,-0.0370108611894594,-0.0426238420889931,0.554440196223244
0.16,0.130240258482447,0.109013545131334,-0.0165427254141776,-0.0369630930810066,0.222243677355101,0.581783345358803
0.17,0.130935569339105,0.108110021224235,-0.0213481640249907,-0.0368598809529315,0.467588961447269,0.603949190295906
0.18,0.131619288471741,0.107180596749769,-0.0261313782680683,-0.0366984904903205,0.694126463157452,0.621240739998602
0.19,0.132288048640871,0.10622534403015,-0.0308678336150012,-0.0364767051086799,0.90255932241607,0.633951821410098
0.2,0.132938498179943,0.10524437615398,-0.0355348763156183,-0.0361927956530394,1.09357924390564,0.642367169686027
0.21,0.133567318187032,0.104237848529444,-0.0401116630839939,-0.035845491015258,1.26786637614516,0.64676252120562
0.22,0.134171238398645,0.103205960095955,-0.0445790919279788,-0.0354339496605079,1.42608919266965,0.647404709404318
0.23,0.134747051794912,0.102148954214833,-0.0489197341343493,-0.0349577320536373,1.56890437606061,0.644551763457056
0.24,0.13529162798462,0.101067119258984,-0.0531177674214528,-0.0344167739758262,1.69695670553744,0.638453009827876
0.25,0.135801925417767,0.0999607889208894,-0.0571589102709502,-0.0338113607216694,1.81087894877445,0.629349176688478
0.26,0.136275002472457,0.0988303422576016,-0.0610303574498939,-0.0331421021665299,1.91129175856344,0.617472501195892
0.27,0.136708027462164,0.0976762034908366,-0.0647207167339601,-0.0324099086937215,1.99880357489801,0.603046839607658
0.28,0.137098287608544,0.0964988415796249,-0.06821994684217,-0.0316159679707935,2.07401053301256,0.586287780201676
0.29,0.137443197024127,0.0952987695823929,-0.0715192965928901,-0.0307617225639047,2.13749637786663,0.567402758957267
0.3,0.137740303748386,0.094076543824747,-0.074611245290309,-0.0298488483789958,2.18983238552383,0.546591177943996
0.31,0.137987295879819,0.0928327628886475,-0.0774894443499411,-0.0288792339181911,2.23157729183403,0.524044526355364
0.32,0.138182006845802,0.0915680664380766,-0.0801486601710209,-0.0278549603395921,2.26327722878807,0.499946504115609
0.33,0.138322419851136,0.0902831338957388,-0.0825847182629173,-0.0267782823083575,2.28546566887526,0.474473147979636
0.34,0.138406671545309,0.0889786829847631,-0.0847944486319349,-0.0256516096267113,2.29866337773692,0.447792960038358
0.35,0.138433054947612,0.0876554681488269,-0.086775632434065,-0.0244774896302672,2.30337837537217,0.420067038534601
0.36,0.13840002166841,0.0863142788635738,-0.0885269498984213,-0.0232585903378193,2.30010590611703,0.391449210888149
0.37,0.138306183463909,0.0849559378516583,-0.0900479295252405,-0.0219976843415179,2.28932841758328,0.362086168822431
0.38,0.138150313160944,0.0835812992132276,-0.0913388985614479,-0.0206976334241276,2.27151554871066,0.332117605479866
0.39,0.137931344987362,0.0821912464831261,-0.092400934755897,-0.0193613738898552,2.24712412705317,0.301676354407858
0.4,0.137648374342716,0.0807866906256038,-0.0932358193954751,-0.0179919025950347,2.21659817539012,0.270888530292949
0.41,0.137300657043074,0.0793685679768059,-0.0938459916223478,-0.0165922636647735,2.18036892772186,0.23987367131665
0.42,0.13688760807284,0.0779378381448324,-0.0942345040316815,-0.0151655358814829,2.13885485468209,0.20874488300294
0.43,0.13640879987562,0.0764954818766767,-0.0944049795482431,-0.0137148207310607,2.09246169837082,0.177608983424396
0.44,0.135863960215218,0.0750424989008783,-0.0943615695793364,-0.0122432310923382,2.0415825165857,0.146566649631319
0.45,0.135252969637003,0.0735799057542677,-0.0941089134405926,-0.0107538805552733,1.98659773640453,0.115712565166078
0.46,0.134575858558962,0.0721087336007274,-0.0936520990501903,-0.00924987335324522,1.92787521704731,0.0851355685231834
0.47,0.133832804020861,0.0706300260494551,-0.0929966248861475,-0.00773429489470054,1.86577032192391,0.0549188024142828
0.48,0.133024126119067,0.0691448369797831,-0.0921483632004,-0.00621020287930355,1.80062599975132,0.0251398636964066
0.49,0.132150284153693,0.0676542283791885,-0.0911135244824601,-0.00468061898366513,1.73277287460415,-0.00412904617877086
0.5,0.131211872513819,0.0661592682007192,-0.0898986231645451,-0.00314852110165706,1.66252934474267,-0.0328209703369948
0.51,0.130209616325718,0.0646610282456621,-0.0885104445591696,-0.00161683612426688,1.59020169004458,-0.0608740454169703
0.52,0.1291443668881,0.0631605820768901,-0.0869560130193199,-8.84332439103914e-05,1.51608418784928,-0.0882313504109606
0.53,0.128017096917544,0.0616590029679482,-0.0852425613104658,0.0014338822319044,1.44045923700783,-0.114840755551164
0.54,0.126828895626437,0.060157361892569,-0.0833775011828267,0.00294737457267809,1.36359748991679,-0.140654771381383
0.55,0.125580963654869,0.0586567255589537,-0.0813683951314868,0.00444938283789667,1.28575799230017,-0.165630398152019
0.56,0.124274607877114,0.0571581544928069,-0.0792229293311552,0.00593732562597711,1.20718833049131,-0.189728975674662
0.57,0.122911236102486,0.0556627011727771,-0.0769488877315936,0.00740870537424234,1.12812478595468,-0.212916033770498
0.58,0.121492351689519,0.0541714082216324,-0.0745541272989829,0.00886111222494011,1.04879249677687,-0.235161143444475
0.59,0.120019548091649,0.0526853066561821,-0.0720465543877767,0.0102922274722608,0.969405625846735,-0.256437768914655
0.6,0.118494503351721,0.0512054141986552,-0.0694341022268929,0.0116998266052371,0.890167535435553,-0.2767231206234
0.61,0.116918974561897,0.0497327336519498,-0.0667247095034243,0.0130817819613219,0.811270967880907,-0.295998009354135
0.62,0.115294792304727,0.0482682513408871,-0.0639263000264122,0.0144360650053444,0.73289823207081,-0.314246701574226
0.63,0.113623855090398,0.0468129356213274,-0.0610467634526121,0.0157607482484314,0.655221395419055,-0.331456776121216
0.64,0.111908123804408,0.0453677354587464,-0.0580939370556048,0.0170540068213611,0.578402481017754,-0.347618982346168
0.65,0.11014961617917,0.0439335790776166,-0.0550755885190556,0.0183141197166786,0.502593669648933,-0.362727099824191
0.66,0.108350401302323,0.0425113726826951,-0.0519993997344047,0.0195394707137615,0.427937506333927,-0.376777799738452
0.67,0.106512594173808,0.0411019992530895,-0.0488729515827888,0.0207285490008619,0.354567111096787,-0.389770508040071
0.68,0.104638350323049,0.0397063174097483,-0.0457037096805396,0.0218799495079886,0.282606393616382,-0.401707270482241
0.69,0.102729860496932,0.0383251603568141,-0.0424990110671807,0.0229923729643112,0.212170271440954,-0.412592619622831
0.7,0.100789345428531,0.0369593348970709,-0.0392660518144601,0.0240646256935856,0.143364891438775,-0.422433443885449
0.71,0.0988190506959468,0.0356096205215262,-0.0360118755345955,0.0250956191608977,0.0762878541590946,-0.431238858764727
0.72,0.0968212416799125,0.0342767685729854,-0.032743362765587,0.0260843692838213,0.0110284407788119,-0.43902008025714
0.73,0.0947981986282359,0.0329615014832995,-0.0294672212111625,0.0270299955208684,-0.052332157687818,-0.445790300594361
0.74,0.092752211834507,0.0316645120838046,-0.0261899768126602,0.0279317197498898,-0.113720609236631,-0.4515645663516
0.75,0.0906855769379152,0.0303864629883139,-0.0229179656299267,0.0287888649488517,-0.173071208095273,-0.456359658998953
0.76,0.0886005903504282,0.0291279860478766,-0.0196573265081168,0.0296008536911785,-0.230325640632657,-0.460193977959263
0.77,0.0864995448170249,0.0278896818763785,-0.0164139945071165,0.0303672064676054,-0.28543275026544,-0.463087426231448
0.78,0.0843847251141183,0.0266721194459311,-0.0131936950701794,0.0310875398462364,-0.338348301666178,-0.465061298633765
0.79,0.082258403890775,0.0254758357508727,-0.0100019389082689,0.0317615644822442,-0.38903474457258,-0.466138172716936
