Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-1.1180339887499,-1.1180339887499
0.01,0.05,0.05,0,0,-1.01181535824886,-1.01181535824886
0.02,0.05,0.05,-0.00011180339887499,-0.00011180339887499,-0.910647959454175,-0.910647959454175
0.03,0.05,0.05,-0.000324788333574867,-0.000324788333574867,-0.814393304995381,-0.814393304995381
0.04,0.0499999216577612,0.0499999216577612,-0.000628838064220161,-0.000628838064220161,-0.722914597996645,-0.722914597996645
0.05,0.0499996157316973,0.0499996157316973,-0.00101432712536499,-0.00101432712536499,-0.636076741313755,-0.636076741313755
0.06,0.0499988691698183,0.0499988691698183,-0.00147210764630949,-0.00147210764630949,-0.553746347380805,-0.553746347380805
0.07,0.0499974118544322,0.0499974118544322,-0.00199349584138536,-0.00199349584138536,-0.475791748576197,-0.475791748576197
0.08,0.0499949230121883,0.0499949230121883,-0.00257025867119932,-0.00257025867119932,-0.402083008019669,-0.402083008019669
0.09,0.0499910372989297,0.0499910372989297,-0.00319460067587089,-0.00319460067587089,-0.332491930714188,-0.332491930714188
0.1,0.0499853505687023,0.0499853505687023,-0.00385915098134443,-0.00385915098134443,-0.266892074948879,-0.266892074948879
0.11,0.0499774253361442,0.0499774253361442,-0.00455695047988939,-0.00455695047988939,-0.205158763881507,-0.205158763881507
0.12,0.0499667959413626,0.0499667959413626,-0.00528143918592923,-0.00528143918592923,-0.147169097221559,-0.147169097221559
0.13,0.0499529734262806,0.0499529734262806,-0.00602644376835723,-0.00602644376835723,-0.0928019629374852,-0.0928019629374852
0.14,0.0499354501313118,0.0499354501313118,-0.00678616526050738,-0.00678616526050738,-0.0419380489143371,-0.0419380489143371
0.15,0.0499137040211025,0.0499137040211025,-0.00755516694895128,-0.00755516694895128,0.00554014550929272,0.00554014550929272
0.16,0.0498872027479499,0.0498872027479499,-0.00832836244228662,-0.00832836244228662,0.0497482981933457,0.0497482981933457
0.17,0.0498554074613852,0.0498554074613852,-0.00910100392107102,-0.00910100392107102,0.0908002531029191,0.0908002531029191
0.18,0.0498177763722807,0.0498177763722807,-0.00986867057003609,-0.00986867057003609,0.128808009532122,0.128808009532122
0.19,0.0497737680797143,0.0497737680797143,-0.0106272571936909,-0.0106272571936909,0.163881711704982,0.163881711704982
0.2,0.0497228446686984,0.0497228446686984,-0.0113729630163924,-0.0113729630163924,0.196129638810325,0.196129638810325
0.21,0.049664474586749,0.049664474586749,-0.0121022806679235,-0.0121022806679235,0.225658195524649,0.225658195524649
0.22,0.0495981353071431,0.0495981353071431,-0.0128119853555735,-0.0128119853555735,0.252571903074071,0.252571903074071
0.23,0.0495233157865834,0.0495233157865834,-0.0134991242236711,-0.0134991242236711,0.276973390883545,0.276973390883545
0.24,0.0494395187248568,0.0494395187248568,-0.0141610059014613,-0.0141610059014613,0.298963388858576,0.298963388858576
0.25,0.0493462626339419,0.0493462626339419,-0.0147951902401631,-0.0147951902401631,0.31864072034179,0.31864072034179
0.26,0.0492430837238919,0.0492430837238919,-0.015399478239979,-0.015399478239979,0.336102295783802,0.336102295783802
0.27,0.0491295376126807,0.0491295376126807,-0.0159719021677608,-0.0159719021677608,0.35144310716494,0.35144310716494
0.28,0.0490052008670742,0.0490052008670742,-0.0165107158659642,-0.0165107158659642,0.364756223201559,0.364756223201559
0.29,0.0488696723814487,0.0488696723814487,-0.0170143852534511,-0.0170143852534511,0.376132785367825,0.376132785367825
0.3,0.0487225746013486,0.0487225746013486,-0.0174815790186179,-0.0174815790186179,0.385662004761073,0.385662004761073
0.31,0.0485635545984387,0.0485635545984387,-0.0179111595052478,-0.0179111595052478,0.393431159836107,0.393431159836107
0.32,0.0483922850033736,0.0483922850033736,-0.0183021737914017,-0.0183021737914017,0.399525595031062,0.399525595031062
0.33,0.0482084648029695,0.0482084648029695,-0.0186538449615719,-0.0186538449615719,0.404028720304839,0.404028720304839
0.34,0.0480118200079302,0.0480118200079302,-0.018965563572239,-0.018965563572239,0.407022011603453,0.407022011603453
0.35,0.0478021041972428,0.0478021041972428,-0.0192368793108757,-0.0192368793108757,0.408585012270107,0.408585012270107
0.36,0.0475790989452236,0.0475790989452236,-0.019467492848352,-0.019467492848352,0.408795335411305,0.408795335411305
0.37,0.0473426141370588,0.0473426141370588,-0.0196572478846013,-0.0196572478846013,0.407728667228822,0.407728667228822
0.38,0.0470924881785481,0.0470924881785481,-0.0198061233873095,-0.0198061233873095,0.405458771325024,0.405458771325024
0.39,0.0468285881056269,0.0468285881056269,-0.0199142260232948,-0.0199142260232948,0.402057493986644,0.402057493986644
0.4,0.0465508095991035,0.0465508095991035,-0.0199817827821475,-0.0199817827821475,0.39759477044991,0.39759477044991
0.41,0.0462590769099167,0.0462590769099167,-0.0200091337916017,-0.0200091337916017,0.392138632147693,0.392138632147693
