Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-0.607456508452622,-0.607456508452622
0.01,0.05,0.05,0,0,-0.556182191353929,-0.556182191353929
0.02,0.05,0.05,-6.07456508452622e-05,-6.07456508452622e-05,-0.507075884613446,-0.507075884613446
0.03,0.05,0.05,-0.000177109520825917,-0.000177109520825917,-0.460085340936936,-0.460085340936936
0.04,0.0499999574346547,0.0499999574346547,-0.000344180979267917,-0.000344180979267917,-0.41515884986306,-0.41515884986306
0.05,0.0499997907661379,0.0499997907661379,-0.00055726097180361,-0.00055726097180361,-0.372245237832579,-0.372245237832579
0.06,0.0499993829250922,0.0499993829250922,-0.00081185684932561,-0.00081185684932561,-0.331293868932602,-0.331293868932602
0.07,0.0499985846033226,0.0499985846033226,-0.00110367725063087,-0.00110367725063087,-0.292254646257546,-0.292254646257546
0.08,0.0499972174018607,0.0499972174018607,-0.00142862703882938,-0.00142862703882938,-0.255078013830555,-0.255078013830555
0.09,0.0499950768379825,0.0499950768379825,-0.00178280229165366,-0.00178280229165366,-0.219714959031152,-0.219714959031152
0.1,0.0499919352147293,0.0499919352147293,-0.00216248534586098,-0.00216248534586098,-0.186117015476915,-0.186117015476915
0.11,0.0499875443564417,0.0499875443564417,-0.00256413989597143,-0.00256413989597143,-0.15423626630894,-0.15423626630894
0.12,0.0499816382137795,0.0499816382137795,-0.00298440614762956,-0.00298440614762956,-0.124025347832837,-0.124025347832837
0.13,0.0499739353416617,0.0499739353416617,-0.00342009602591859,-0.00342009602591859,-0.0954374534689042,-0.0954374534689042
0.14,0.0499641412535219,0.0499641412535219,-0.0038681884389909,-0.0038681884389909,-0.0684263379670572,-0.0684263379670572
0.15,0.0499519506552382,0.0499519506552382,-0.0043258245974101,-0.0043258245974101,-0.0429463218439526,-0.0429463218439526
0.16,0.0499370495620555,0.0499370495620555,-0.00479030338962601,-0.00479030338962601,-0.0189522960015831,-0.0189522960015831
0.17,0.0499191173017799,0.0499191173017799,-0.00525907681402631,-0.00525907681402631,0.00360027351154912,0.00360027351154912
0.18,0.0498978284074863,0.0498978284074863,-0.00572974546802677,-0.00572974546802677,0.0247553406338026,0.0247553406338026
0.19,0.0498728544029394,0.0498728544029394,-0.00620005409467608,-0.00620005409467608,0.0445562743536709,0.0445562743536709
0.2,0.0498438654838895,0.0498438654838895,-0.00666788718726201,-0.00666788718726201,0.0630458537366103,0.0630458537366103
0.21,0.0498105320983633,0.0498105320983633,-0.00713126465241257,-0.00713126465241257,0.0802662629473745,0.0802662629473745
0.22,0.0497725264290295,0.0497725264290295,-0.00758833753218947,-0.00758833753218947,0.096259086298158,0.096259086298158
0.23,0.0497295237806785,0.0497295237806785,-0.00803738378567163,-0.00803738378567163,0.11106530335123,0.11106530335123
0.24,0.0496812038758139,0.0496812038758139,-0.00847680413052397,-0.00847680413052397,0.124725284103147,0.124725284103147
0.25,0.0496272520613109,0.0496272520613109,-0.0089051179450412,-0.0089051179450412,0.137278784276091,0.137278784276091
0.26,0.0495673604290564,0.0495673604290564,-0.0093209592311481,-0.0093209592311481,0.148764940740343,0.148764940740343
0.27,0.0495012288534419,0.0495012288534419,-0.0097230726388274,-0.0097230726388274,0.159222267090427,0.159222267090427
