Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.05,0.05,0,0,-0.023751444163725,-0.023751444163725
0.01,0.05,0.05,0,0,-0.0227212350468038,-0.0227212350468038
0.02,0.05,0.05,-2.3751444163725e-06,-2.3751444163725e-06,-0.0217180289450303,-0.0217180289450303
0.03,0.05,0.05,-7.02241233742539e-06,-7.02241233742539e-06,-0.0207412542629599,-0.0207412542629599
0.04,0.0499999983357024,0.0499999983357024,-1.38414831529813e-05,-1.38414831529813e-05,-0.0197903505611023,-0.0197903505611023
0.05,0.0499999917507001,0.0499999917507001,-2.27346793948332e-05,-2.27346793948332e-05,-0.0188647683416575,-0.0188647683416575
0.06,0.0499999754667729,0.0499999754667729,-3.36069106927953e-05,-3.36069106927953e-05,-0.0179639688383672,-0.0179639688383672
0.07,0.049999943252331,0.049999943252331,-4.63656188249232e-05,-4.63656188249232e-05,-0.017087423810404,-0.017087423810404
0.08,0.0499998874890467,0.0499998874890467,-6.09207238408878e-05,-6.09207238408878e-05,-0.0162346153402198,-0.0162346153402198
0.09,0.0499997992367109,0.0499997992367109,-7.71845712378928e-05,-7.71845712378928e-05,-0.0154050356352798,-0.0154050356352798
0.1,0.0499996682963536,0.0499996682963536,-9.50718801689198e-05,-9.50718801689198e-05,-0.0145981868336061,-0.0145981868336061
0.11,0.0499994832716647,0.0499994832716647,-0.000114499692663475,-0.000114499692663475,-0.0138135808130587,-0.0138135808130587
0.12,0.0499992316287511,0.0499992316287511,-0.00013538732384139,-0.00013538732384139,-0.0130507390042832,-0.0130507390042832
0.13,0.0499988997542671,0.0499988997542671,-0.000157656313100612,-0.000157656313100612,-0.012309192207254,-0.012309192207254
0.14,0.0499984730119513,0.0499984730119513,-0.000181230376260262,-0.000181230376260262,-0.0115884804113446,-0.0115884804113446
0.15,0.0499979357976046,0.0499979357976046,-0.000206035358640637,-0.000206035358640637,-0.0108881526188585,-0.0108881526188585
0.16,0.0499972715925443,0.0499972715925443,-0.000231999189062146,-0.000231999189062146,-0.0102077666719529,-0.0102077666719529
0.17,0.0499964630155648,0.0499964630155648,-0.000259051834745542,-0.000259051834745542,-0.00954688908289128,-0.00954688908289128
0.18,0.0499954918734392,0.0499954918734392,-0.000287125257096133,-0.000287125257096133,-0.00890509486756099,-0.00890509486756099
0.19,0.0499943392099923,0.0499943392099923,-0.000316153368355013,-0.000316153368355013,-0.00828196738219358,-0.00828196738219358
0.2,0.049992985353776,0.049992985353776,-0.000346071989100648,-0.000346071989100648,-0.0076770981632259,-0.0076770981632259
0.21,0.049991409964378,0.049991409964378,-0.000376818806584504,-0.000376818806584504,-0.00709008677024235,-0.00709008677024235
0.22,0.0499895920773933,0.0499895920773933,-0.000408333333884682,-0.000408333333884682,-0.00652054063193911,-0.00652054063193911
0.23,0.0499875101480878,0.0499875101480878,-0.000440556869861884,-0.000440556869861884,-0.00596807489505242,-0.00596807489505242
0.24,0.0499851420937818,0.0499851420937818,-0.00047343245990228,-0.00047343245990228,-0.00543231227619416,-0.00543231227619416
0.25,0.0499824653349835,0.0499824653349835,-0.000506904857432181,-0.000506904857432181,-0.0049128829165389,-0.0049128829165389
0.26,0.0499794568352972,0.0499794568352972,-0.000540920486189702,-0.000540920486189702,-0.00440942423930783,-0.00440942423930783
0.27,0.0499760931401358,0.0499760931401358,-0.000575427403238877,-0.000575427403238877,-0.00392158080999593,-0.00392158080999593
0.28,0.0499723504142623,0.0499723504142623,-0.000610375262711982,-0.000610375262711982,-0.00344900419928969,-0.00344900419928969
0.29,0.049968204478187,0.049968204478187,-0.000645715280266087,-0.000645715280266087,-0.00299135284862377,-0.00299135284862377
0.3,0.0499636308434454,0.0499636308434454,-0.000681400198240121,-0.000681400198240121,-0.002548291938326,-0.002548291938326
0.31,0.0499586047467824,0.0499586047467824,-0.000717384251499018,-0.000717384251499018,-0.00211949325830098,-0.00211949325830098
0.32,0.0499531011832662,0.0499531011832662,-0.000753623133951746,-0.000753623133951746,-0.00170463508120354,-0.00170463508120354
0.33,0.0499470949383567,0.0499470949383567,-0.000790073965730305,-0.000790073965730305,-0.00130340203805427,-0.00130340203805427
0.34,0.0499405606189512,0.0499405606189512,-0.000826695261016985,-0.000826695261016985,-0.000915484996250087,-0.000915484996250087
0.35,0.0499334726834311,0.0499334726834311,-0.00086344689650747,-0.00086344689650747,-0.000540580939924085,-0.000540580939924085
0.36,0.0499258054707317,0.0499258054707317,-0.00090029008049758,-0.00090029008049758,-0.00017839285260909,-0.00017839285260909
0.37,0.0499175332284569,0.0499175332284569,-0.000937187322581682,-0.000937187322581682,0.000171370397838894,0.000171370397838894
0.38,0.0499086301400614,0.0499086301400614,-0.000974102403951045,-0.000974102403951045,0.000508994172101221,0.000508994172101221
0.39,0.0498990703511207,0.0498990703511207,-0.00101100034828062,-0.00101100034828062,0.000834758170083476,0.000834758170083476
0.4,0.0498888279947097,0.0498888279947097,-0.00104784739319299,-0.00104784739319299,0.00114893653947061,0.00114893653947061
0.41,0.0498778772159118,0.0498778772159118,-0.00108461096228835,-0.00108461096228835,0.00145179798219135,0.00145179798219135
0.42,0.0498661921954763,0.0498661921954763,-0.00112125963772977,-0.00112125963772977,0.00174360585883213,0.00174360585883213
0.43,0.049853747172645,0.049853747172645,-0.00115776313337296,-0.00115776313337296,0.00202461829104003,0.00202461829104003
0.44,0.0498405164671676,0.0498405164671676,-0.00119409226843027,-0.00119409226843027,0.00229508826195338,0.00229508826195338
0.45,0.0498264745005232,0.0498264745005232,-0.00123021894165848,-0.00123021894165848,0.00255526371469814,0.00255526371469814
0.46,0.0498115958163678,0.0498115958163678,-0.00126611610606049,-0.00126611610606049,0.00280538764898722,0.00280538764898722
0.47,0.0497958551002255,0.0497958551002255,-0.00130175774409104,-0.00130175774409104,0.00304569821585939,0.00304569821585939
0.48,0.0497792271984402,0.0497792271984402,-0.00133711884335668,-0.00133711884335668,0.00327642881059342,0.00327642881059342
0.49,0.0497616871364071,0.0497616871364071,-0.00137217537280074,-0.00137217537280074,0.00349780816383312,0.00349780816383312
0.5,0.0497432101360988,0.0497432101360988,-0.00140690425936373,-0.00140690425936373,0.00371006043095707,0.00371006043095707
0.51,0.0497237716329043,0.0497237716329043,-0.00144128336511035,-0.00144128336511035,0.00391340527972765,0.00391340527972765
0.52,0.0497033472917966,0.0497033472917966,-0.00147529146481387,-0.00147529146481387,0.00410805797625192,0.00410805797625192
0.53,0.0496819130228452,0.0496819130228452,-0.00150890822398942,-0.00150890822398942,0.00429422946928745,0.00429422946928745
0.54,0.0496594449960888,0.0496594449960888,-0.00154211417736734,-0.00154211417736734,0.00447212647292464,0.00447212647292464
0.55,0.049635919655784,0.049635919655784,-0.00157489070779833,-0.00157489070779833,0.00464195154767714,0.00464195154767714
0.56,0.049611313734045,0.049611313734045,-0.00160722002558203,-0.00160722002558203,0.004803903180011,0.004803903180011
0.57,0.0495856042638885,0.0495856042638885,-0.00163908514821096,-0.00163908514821096,0.00495817586034271,0.00495817586034271
0.58,0.0495587685916999,0.0495587685916999,-0.00167046988052189,-0.00167046988052189,0.00510496015953573,0.00510496015953573
0.59,0.0495307843891324,0.0495307843891324,-0.00170135879524679,-0.00170135879524679,0.00524444280392457,0.00524444280392457
0.6,0.0495016296644557,0.0495016296644557,-0.00173173721395573,-0.00173173721395573,0.00537680674889471,0.00537680674889471
0.61,0.0494712827733661,0.0494712827733661,-0.00176159118838428,-0.00176159118838428,0.00550223125104657,0.00550223125104657
0.62,0.0494397224292716,0.0494397224292716,-0.00179090748213795,-0.00179090748213795,0.00562089193897056,0.00562089193897056
0.63,0.0494069277130658,0.0494069277130658,-0.0018196735527665,-0.0018196735527665,0.00573296088266038,0.00573296088266038
0.64,0.0493728780824029,0.0493728780824029,-0.00184787753420116,-0.00184787753420116,0.00583860666159076,0.00583860666159076
0.65,0.0493375533804861,0.0493375533804861,-0.00187550821954756,-0.00187550821954756,0.00593799443148543,0.00593799443148543
0.66,0.049300933844383,0.049300933844383,-0.00190255504422779,-0.00190255504422779,0.00603128598980082,0.00603128598980082
0.67,0.0492630001128774,0.0492630001128774,-0.00192900806946488,-0.00192900806946488,0.00611863983995025,0.00611863983995025
0.68,0.049223733233873,0.049223733233873,-0.00195485796610298,-0.00195485796610298,0.00620021125429302,0.00620021125429302
0.69,0.049183114671357,0.049183114671357,-0.00198009599875709,-0.00198009599875709,0.00627615233591227,0.00627615233591227
0.7,0.0491411263119377,0.0491411263119377,-0.00200471401028578,-0.00200471401028578,0.00634661207920518,0.00634661207920518
0.71,0.0490977504709649,0.0490977504709649,-0.00202870440658087,-0.00202870440658087,0.00641173642930837,0.00641173642930837
0.72,0.0490529698982464,0.0490529698982464,-0.00205206014166804,-0.00205206014166804,0.00647166834038128,0.00647166834038128
0.73,0.0490067677833686,0.0490067677833686,-0.00207477470311227,-0.00207477470311227,0.00652654783276932,0.00652654783276932
0.74,0.0489591277606345,0.0489591277606345,-0.00209684209772248,-0.00209684209772248,0.00657651204906892,0.00657651204906892
0.75,0.0489100339136263,0.0489100339136263,-0.0021182568375494,-0.0021182568375494,0.00662169530911547,0.00662169530911547
0.76,0.0488594707794053,0.0488594707794053,-0.00213901392617142,-0.00213901392617142,0.00666222916391508,0.00666222916391508
0.77,0.0488074233523574,0.0488074233523574,-0.00215910884526252,-0.00215910884526252,0.0066982424485408,0.0066982424485408
0.78,0.0487538770876941,0.0487538770876941,-0.00217853754143724,-0.00217853754143724,0.00672986133401317,0.00672986133401317
0.79,0.0486988179046185,0.0486988179046185,-0.0021972964133671,-0.0021972964133671,0.006757209378185,0.006757209378185
0.8,0.0486422321891656,0.0486422321891656,-0.00221538229916356,-0.00221538229916356,0.00678040757564954,0.00678040757564954
0.81,0.048584106796726,0.048584106796726,-0.0022327924640222,-0.0022327924640222,0.00679957440669111,0.00679957440669111
