Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad,Sterowanie_Ux,Sterowanie_Uy
0,0.12,0.12,0.0349065850398866,-0.0349065850398866,-3.38773639254693,-3.38773639254693
0.01,0.1205,0.1195,0.0349065850398866,-0.0349065850398866,-3.13638960389951,-3.13638960389951
0.02,0.121024459542803,0.118975540457197,0.0345678114006319,-0.0348693278737992,-2.89449012479581,-2.89449012479581
0.03,0.121573378628409,0.118426621371591,0.0339153988009873,-0.0347943174755699,-2.66184741034831,-2.66184741034831
0.04,0.122146519873289,0.117853268849811,0.032973537188863,-0.0346812036761261,-2.43827189012082,-2.43827189012082
0.05,0.122743426122615,0.117255535452714,0.031765490835704,-0.0345297748308604,-2.22357497280957,-2.22357497280957
0.06,0.123363437400499,0.116633500440755,0.0303136172935328,-0.0343399506232251,-2.01756905526016,-2.01756905526016
0.07,0.124005707211605,0.11598726992229,0.0286393862540807,-0.0341117750438256,-1.82006753551794,-1.82006753551794
0.08,0.1246692182074,0.115316976909852,0.0267633983091026,-0.0338454095443286,-1.63088482961815,-1.63088482961815
0.09,0.125352797230278,0.11462278128933,0.0247054036105727,-0.0335411263654313,-1.44983639183094,-1.44983639183094
0.1,0.126055129748684,0.113904869706835,0.022484320429081,-0.0331993020380644,-1.27673873808503,-1.27673873808503
0.11,0.126774773696336,0.113163455377936,0.0201182536084062,-0.0328204110569298,-1.11140947230263,-1.11140947230263
0.12,0.127510172728516,0.112398777823823,0.0176245129139229,-0.0324050197254032,-0.95366731538655,-0.95366731538655
0.13,0.128259668908403,0.11161110253882,0.0150196312722093,-0.0319537801707578,-0.803332136609328,-0.803332136609328
0.14,0.129021514836268,0.110800720593567,0.012319382898957,-0.0314674245285952,-0.66022498716235,-0.66022498716235
0.15,0.129793885234332,0.109967948178065,0.00953880131204388,-0.030946759295298,-0.524168135631641,-0.524168135631641
0.16,0.130574887999984,0.109113126088661,0.00669219722641448,-0.0303926598472493,-0.394985105175144,-0.394985105175144
0.17,0.131362574739984,0.108236619162923,0.00379317632722191,-0.0298060651254923,-0.272500712184645,-0.272500712184645
